Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Ya Wei Wang,CHN,1,1,0,1,0,0,0
Yaakub Ali,CHN,0,1,0,0,0,0,1
Yabe Shotaro,JPN,0,1,0,0,0,0,0
Yabo Jimmy,PHI,5,5,0,5,4,0,1
Yabushita Megumi,PHI,,,,0,2,0,3
Yachi Yusuke,JPN,,,,6,4,2,3
Yackulic Mike,JPN,0,1,0,0,0,0,1
Yadegari Navid,JPN,0,1,0,0,0,0,1
Yadong Song,CHN,,,,7,1,3,0
Yager Jamie,USA,8,4,0,3,2,3,1
Yager Joe,USA,2,5,0,0,0,0,1
Yagin Eddie,USA,,,,5,2,5,1
Yagoue Fabrice,USA,0,1,0,0,0,0,0
Yagshimuradov Dovletdzhan,TKM,,,,,,4,3
Yagudin Eldar,TKM,0,1,0,0,1,0,0
Yahagi Naoki,TKM,0,2,1,0,1,0,0
Yahia Sami,TKM,0,1,0,0,0,0,0
Yahya Mohammad,TKM,1,1,0,1,0,0,1
Yahya Rani,BRA,,,,0,2,,
Yajima Yuichiro,BRA,0,1,0,0,0,0,0
Yakhyaev Abror,BRA,0,1,0,0,1,0,0
Yakhyaev Daler,UKR,0,1,0,0,0,0,1
Yakhyaev Harun,RUS,0,1,0,0,0,0,1
Yakhyaev Rasul,RUS,,,,3,0,4,4
Yakovlev Alexander,RUS,,,,9,0,9,5
Yakovlev Sergey,RUS,1,1,0,1,1,0,0
Yakubov Abylkasym,RUS,0,1,0,0,0,0,1
Yakubov Arip,RUS,0,1,0,0,0,0,0
Yakubov German,RUS,0,3,0,0,0,0,2
Yakul Shingo,RUS,0,1,0,0,1,0,0
Yakut Metin,RUS,1,1,0,0,1,1,0
Yakut Sahin,RUS,0,1,0,0,0,0,0
Yalbirdak Ahmet,SUI,0,1,0,0,1,0,0
Yalovenko Vitalii,SUI,0,5,0,0,3,0,0
Yamada Hana,JPN,0,2,0,0,1,0,0
Yamada Keisuke,JPN,0,0,1,0,0,0,0
Yamada Manabu,JPN,0,1,0,0,0,0,0
Yamada Moriyuki,JPN,0,1,0,0,0,0,0
Yamada Sotaro,JPN,1,1,0,0,0,1,0
Yamada Sumie,JPN,0,1,0,0,0,0,1
Yamada Tetsuya,JPN,2,6,1,1,2,1,1
Yamagami Mikihito,JPN,2,0,0,0,0,1,0
Yamaguchi Daisuke,JPN,1,0,0,0,0,0,0
Yamaguchi Mamoru,JPN,,,,8,1,2,3
Yamaguchi Marcelo,JPN,0,1,0,0,1,0,0
Yamaguchi Mei,JPN,,,,2,0,8,0
Yamaguchi Mitsuru,JPN,0,0,1,0,0,0,0
Yamaishi Daiki,JPN,0,1,0,0,0,0,0
Yamaji Daisuke,JPN,0,1,0,0,1,0,0
Yamamiya Keiichiro,JPN,7,5,2,1,3,0,0
Yamamori Masaaki,JPN,0,1,0,0,1,0,0
Yamamoto Asen,JPN,0,1,0,0,0,0,1
Yamamoto Atsushi,JPN,4,6,0,1,0,0,1
Yamamoto Erson,JPN,2,4,0,1,1,0,3
Yamamoto Hisashi,JPN,0,1,0,0,0,0,0
Yamamoto Kenichi,JPN,3,4,0,0,2,1,1
Yamamoto Kenji,JPN,0,2,0,0,2,0,0
Yamamoto Mamoru,JPN,1,0,0,1,0,0,0
Yamamoto Miyu,JPN,0,1,0,0,0,0,1
Yamamoto Miyuu,JPN,5,5,0,0,1,0,4
Yamamoto Norifumi,JPN,,,,,,2,1
Yamamoto Sachiko,JPN,1,1,0,0,0,0,0
Yamamoto Shohei,USA,1,3,0,1,3,0,0
Yamamoto Tadaaki,USA,0,2,1,0,0,0,1
