Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Caballero Daniel,,0,1,0,0,0,0,1
Caballero Vellore,USA,0,2,0,0,1,0,1
Caballero Llanes Evelyn Jessenia,USA,0,1,0,0,1,0,0
Cabbab Taurus,USA,0,1,0,0,1,0,0
Cabeca Alessandro,USA,0,2,0,0,1,0,0
Cabecao Marcio,USA,0,1,0,0,1,0,0
Cabeleira Junior,USA,0,1,0,0,1,0,0
Cabello Irene,USA,0,1,0,0,0,0,0
Cabello Rivera Irene,USA,1,1,0,0,1,1,0
Cabellow Geneva,USA,0,1,0,0,1,0,0
Cabelo Douglas,BRA,0,1,0,0,0,0,1
Cabezas Joey,BRA,2,4,0,2,1,0,2
Cabinian Richie,BRA,,,,,,,
Cabocao Willian,BRA,0,2,0,0,0,0,1
Cabral Diego,BRA,0,1,0,0,1,0,0
Cabral Fernando,BRA,0,1,0,0,0,0,1
Cabral Jose,BRA,0,1,0,0,0,0,0
Cabral Julio,BRA,0,1,0,0,0,0,0
Cabral Yan,BRA,,,,0,1,,
Cabrera Sergio,BRA,1,0,1,0,0,0,0
Cabrera Vergara Osvaldo,BRA,0,1,0,0,0,0,0
Cacador Marcos,BRA,0,1,0,0,1,0,0
Cacay Adam,BRA,0,2,0,0,2,0,0
Cacdac Alvin,USA,,,,8,2,7,9
Caceres Alex,USA,,,,3,1,7,7
Caceres Jose,USA,,,,1,1,,
Cachero Vince,USA,7,4,0,2,2,2,0
Cachoeira Priscila,BRA,,,,6,0,0,2
Cacic Jadranko,BRA,,,,,,,
Cacique Cacique,BRA,0,1,0,0,0,0,1
Cadeau Mitchell,BRA,0,1,0,0,0,0,0
Cadena Martins Guilherme,ESP,1,6,0,0,6,1,0
Cadeu Luis,ESP,0,2,0,0,1,0,0
Cadlick Mitchell,ESP,,,,,,,
Cado Simon Luiz,ESP,1,4,1,0,2,0,1
Caers Lee,ESP,0,1,0,0,1,0,0
Caesar Dan,ESP,0,3,0,0,0,0,3
Caetano Aleandro,BRA,0,1,0,0,0,0,0
Caetano Cleiton,BRA,0,2,0,0,1,0,0
Cafaro Ryan,USA,1,1,0,0,0,0,0
Cafary Mendy,USA,0,1,0,0,0,0,0
Caffrey Adam,USA,1,0,0,0,0,0,0
Caglar Onur,USA,0,2,0,0,2,0,0
Cahill Shawn,USA,0,1,0,0,0,0,1
Cahoon Paul,USA,0,4,0,0,2,0,0
Cahyadi Yudi,INA,0,1,0,0,0,0,0
Cain Christopher,INA,0,2,0,0,2,0,0
Cain Matt,INA,0,1,0,0,1,0,0
Caio Lucas,INA,0,3,0,0,1,0,1
Cairns Will,INA,0,3,0,0,1,0,2
Cairo Redouan,NED,0,1,0,0,0,0,1
Caixeta Rafael,BRA,0,1,0,0,0,0,1
Caizedo Tony,BRA,0,1,0,0,1,0,0
Cajigas P.J.,USA,0,2,0,0,0,0,1
Cajnak Petr,USA,0,2,0,0,0,0,2
Cakic Peter,USA,0,1,0,0,1,0,0
Cal-loy Mark,USA,,,,,,,
Cala Dylan,USA,0,2,0,0,1,0,1
Calandrelli Andrew,USA,0,1,0,0,0,0,0
Calandrino Nick,USA,1,2,0,0,1,1,1
Calanoc Travis,USA,0,1,0,0,0,0,0
Calatayud Ricky,USA,,,,6,1,6,1
Calcus Arnaud,USA,0,1,0,0,0,0,1
Calder Brad,USA,0,1,0,0,1,0,0
Calderon Adam,USA,0,4,0,0,0,0,2
Calderon Eric,USA,1,5,0,0,1,0,3
Calderon Joaquin,USA,0,1,0,0,0,0,0
Calderon Jorge,USA,0,1,0,0,1,0,0
Calderon Paola,USA,0,2,0,0,0,0,1
Calderon Sergio,USA,0,1,0,0,1,0,0
Calderon Montero Heyner,USA,0,1,0,0,0,0,0
Caldwell Chase,USA,0,2,0,0,2,0,0
Caldwell Darrion,USA,,,,2,0,6,3
Caldwell Dean,USA,1,2,0,1,1,0,1
Caldwell Kelvin,USA,,,,,,,
Caldwell Keon,USA,9,4,0,8,2,1,2
Caldwell Marissa,USA,0,3,0,0,1,0,1
Caleb Chris,USA,0,1,0,0,1,0,0
Calhoun III William,USA,0,3,0,0,1,0,0
Cali Ale,USA,1,1,0,1,1,0,0
Caliari Nicolle,BRA,4,2,0,4,0,0,1
Calibas Kostas,BRA,0,1,0,0,1,0,0
Califano Rosary,BRA,0,1,0,0,0,0,1
Caliim Abdul Aziz,BRA,0,1,0,0,0,0,1
Calim Abdul Aziz,BRA,0,1,0,0,0,0,1
Calin Florian,BRA,0,1,0,0,0,0,0
Calio Fabrizio,BRA,0,1,0,0,1,0,0
Caliocane Rudson,BRA,1,0,0,0,0,0,0
Calistri Lefevre Jean-Jaques,BRA,0,1,0,0,1,0,0
Caliwa Leonard,PHI,0,1,0,0,1,0,0
Callens Taylor,USA,6,0,0,1,0,4,0
Callow David,USA,0,1,0,0,0,0,0
Calloway John,USA,0,1,0,0,1,0,0
Callum Ben,USA,1,1,0,1,0,0,0
Calore Mattia,ITA,0,1,0,0,1,0,0
Calton Brandon,USA,2,1,0,2,0,0,0
Calvaruso Lajos,HUN,0,1,0,0,0,0,1
Calver Adam,HUN,1,1,0,0,0,0,1
Calvete Guile,HUN,0,1,0,0,0,0,1
Calvillo Cynthia,USA,9,4,1,2,2,3,0
Calvo John,USA,0,1,0,0,1,0,0
Calvo Jose Luis,CRC,1,0,0,0,0,1,0
Calvo Josh,CRC,0,2,0,0,0,0,1
Calvo Thomas,CRC,0,1,0,0,0,0,1
Calvo Calvo Carlos,CRC,1,0,0,0,0,1,0
Calvo Martin Jorge,CRC,,,,1,0,5,0
Camacho Adrian,CRC,0,1,0,0,0,0,1
Camacho Chance,CRC,0,1,0,0,1,0,0
Camacho Chris,CRC,0,1,0,0,1,0,0
Camacho Frank,MNP,,,,,,2,2
Camacho Joe,MNP,1,9,0,0,3,1,2
Camacho Joey,MNP,1,1,0,0,1,1,0
Camacho Mike,MNP,0,1,0,0,1,0,0
Camaleao Camaleao,MNP,0,1,0,0,0,0,1
Camansa Dindo,PHI,0,2,0,0,1,0,1
Camara Wagner,BRA,0,1,0,0,0,0,1
Camara Nascimento Jefferson,BRA,0,1,0,0,1,0,0
Camargo Bruno,BRA,1,0,0,0,0,0,0
Camargo Marco Antonio,BRA,0,1,0,0,1,0,0
Camargo Sergio,BRA,,,,,,,
Camarillo Isaac,BRA,0,1,0,0,0,0,1
Camarillo Jason,BRA,0,1,0,0,0,0,0
Cambal Roland,BRA,0,1,0,0,0,0,1
Cameche Mohamed,BRA,1,1,0,0,0,1,1
Camera Jeff,BRA,0,2,0,0,1,0,1
Cameron Hugh,BRA,0,1,0,0,0,0,0
Cameron Jeremy,BRA,0,1,0,0,0,0,1
Cameron Jordan,AUS,0,1,0,0,0,0,0
Cameron R'Mandel,AUS,0,3,0,0,0,0,0
Cameron Steve,CAN,0,1,0,0,1,0,0
Camilleri Matthew,CAN,0,1,0,0,1,0,0
Camillo Julio Cesar,BRA,0,1,0,0,0,0,0
Camilo Eduardo,BRA,0,2,0,0,0,0,2
Camilo Joao,BRA,7,5,0,1,1,3,1
Camilo Wanderley,BRA,0,1,0,0,0,0,0
Cammarata Emmanuel,BRA,0,1,0,0,1,0,0
Camoes Fabricio,BRA,,,,4,2,7,5
Camolese Adriano,BRA,0,1,0,0,0,0,0
Camozzi Brian,USA,7,5,0,3,2,4,1
Camozzi Chris,USA,,,,7,1,8,6
Camp Christian,USA,0,3,0,0,1,0,0
Camp Donny,USA,0,1,0,0,1,0,0
Camp Raymond,USA,0,1,0,0,0,0,0
Camp Ricky,USA,,,,5,1,5,2
Campbell Brian,USA,0,2,0,0,1,0,1
Campbell Charlie,USA,4,1,0,2,0,0,0
Campbell Chuck,USA,0,1,0,0,0,0,0
Campbell Craig,USA,3,3,0,0,2,3,0
Campbell Dave,USA,0,1,0,0,0,0,1
Campbell James,USA,1,0,0,0,0,0,0
Campbell Johnny,USA,,,,7,3,8,2
Campbell Kitt,AUS,0,4,0,0,1,0,1
Campbell Marvin,ENG,0,1,0,0,1,0,0
Campbell Mike,ENG,3,3,0,0,2,0,1
Campbell Nathan,ENG,0,1,0,0,0,0,1
Campbell Nick,CAN,0,3,0,0,2,0,1
Campbell Pumau,CAN,0,1,0,0,1,0,0
Campbell Randy,CAN,0,1,0,0,1,0,0
Campbell Shane,CAN,,,,5,2,3,2
Campbell Steve,CAN,0,2,0,0,1,0,1
Campbell Thomas,CAN,1,1,0,0,1,1,0
Campbell Titus,CAN,0,1,0,0,0,0,1
Campbell III Russell,USA,0,1,0,0,0,0,1
Campetella John,USA,0,1,0,0,1,0,0
Campo Gabriela,USA,0,1,0,0,1,0,0
Campos Abraham,USA,0,1,0,0,1,0,0
Campos Aldo,USA,0,1,0,0,0,0,0
Campos Cain,USA,0,1,0,0,1,0,0
Campos Derek,USA,,,,6,4,5,4
Campos Francisco,USA,,,,,,,
Campos Giselle,BRA,0,3,0,0,1,0,2
Campos Jose,PER,2,0,0,1,0,0,0
Campos Rick,PER,,,,,,,
Campos Thiago Resende,PER,1,0,0,1,0,0,0
