Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Aaltonen Niina,,0,1,0,0,0,0,1
Aarab Soufyan,,0,1,0,0,0,0,0
Aaron Tom,USA,1,3,0,0,1,1,0
Aaron Tommy,ESP,9,5,0,3,3,2,0
Aarons Joshua,ESP,0,2,0,0,0,0,2
Aarts Mike,ESP,0,1,0,0,0,0,1
Abada Zyad,ESP,0,2,0,0,0,0,2
Abadzhyan Kadzhik,ESP,0,2,0,0,1,0,1
Abaev Imran,RUS,0,1,1,0,0,0,1
Abafo Randen,RUS,1,0,0,1,0,0,0
Abajian Jason,RUS,0,1,0,0,1,0,0
Abanokov Soslan,USA,4,5,0,1,1,0,3
Abargel Ariel,USA,1,1,0,0,0,1,1
Abarquez Marcus,USA,0,1,0,0,1,0,0
Abasolo Eddie,USA,0,0,0,0,0,0,0
Abasov Bagautdin,RUS,1,2,0,0,0,1,1
Abasov Emil,RUS,0,2,0,0,0,0,0
Abasov Islam,RUS,0,0,0,0,0,0,0
Abasov Shamil,RUS,0,1,0,0,1,0,0
Abbadi Danny,RUS,0,2,0,0,0,0,1
Abbas Adil,RUS,0,1,0,0,0,0,1
Abbasov Bakhtiyar,AZE,,,,5,3,5,1
Abbasov Elvin,AZE,0,1,0,0,0,0,1
Abbasov Kiamrian,KGZ,,,,,,4,3
Abbasov Nariman,KGZ,0,1,0,0,0,0,0
Abbasov Nerman,AZE,1,0,0,0,0,0,0
Abbey Darion,AZE,0,1,0,0,0,0,1
Abbott Ben,AZE,0,1,0,0,0,0,1
Abbott David,USA,,,,7,7,2,6
Abbott Raleigh,USA,0,1,0,0,1,0,0
Abdallah Adham,USA,0,1,0,0,1,0,0
Abdallah Jamie,AUS,2,4,0,2,3,0,1
Abdallah Mohammed,AUS,1,0,0,1,0,0,0
Abdallaoui Hichame,AUS,0,1,0,0,0,0,0
Abdel Azim Mohamed,AUS,0,1,0,0,1,0,0
Abdel Kawy Atef,AUS,0,2,0,0,2,0,0
Abdelli Anis,AUS,0,1,0,0,0,0,1
Abderhaman Bouaziz,AUS,0,1,0,0,0,0,0
Abdeselam Mohamed Soli,ESP,0,2,0,0,0,0,2
Abdiev Imran,ESP,0,1,0,0,0,0,1
Abdo Mohamed,ESP,0,1,0,0,1,0,0
Abdollah Yusef,ESP,0,1,0,0,0,0,1
Abdollahi Mostafa,IRI,0,1,0,0,0,0,1
Abdolmaleki Akram,IRI,0,1,0,0,0,0,1
Abdon Carol,IRI,0,1,0,0,1,0,0
Abdon Jordano,IRI,0,1,0,0,0,0,1
Abdouraguimov Abdoul,FRA,2,1,0,0,1,1,0
Abdrakhmanov Melisbek,FRA,0,2,0,0,1,0,1
Abduhl-Shakur Jabari,FRA,0,1,0,0,0,0,1
Abdul Baset Eslam,FRA,0,1,0,0,0,0,0
Abdul Hakim Tajuddin,FRA,7,2,0,4,1,0,0
Abdula Muhammad,FRA,0,1,0,0,0,0,1
Abdulaev Khasanbek,RUS,0,1,0,0,1,0,0
Abdulaev Khirzri,RUS,0,1,0,0,1,0,0
Abdulaev Magomed,RUS,0,1,0,0,0,0,1
Abdulaev Murad,RUS,,,,6,2,2,1
Abdulaev Rasul,RUS,2,1,0,1,1,0,0
Abdulakhmetov Gasan,RUS,0,1,0,0,0,0,1
Abdulgalimov Akim,UKR,0,1,0,0,1,0,0
Abdulkadirov Ahmed,UKR,0,1,0,0,0,0,1
Abdulkerimov Arsen,UKR,1,1,0,0,1,1,0
Abdulkerimov Shamil,UKR,2,3,0,1,0,0,0
Abdulkerimov Zirodin,RUS,0,1,0,0,0,0,1
Abdulkhalikov Ali,RUS,7,1,0,3,0,0,0
Abdulkhalikov Shamil,RUS,0,3,0,0,0,0,3
Abdullaev Amir,RUS,1,1,0,0,0,0,0
Abdullaev Gadzhimurad,RUS,6,0,0,3,0,2,0
Abdullaev Ilyas,RUS,0,1,0,0,0,0,1
Abdullaev Khikmet,RUS,0,1,0,0,1,0,0
Abdullaev Murad,RUS,0,1,0,0,1,0,0
