Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
M'Pumbu Christian,ZAR,,,,7,2,8,2
Ma Dong Hyun,KOR,,,,7,4,5,2
Ma Haobin,KOR,1,3,0,0,1,1,0
Maatta Harri,FIN,0,1,0,0,0,0,1
Mabilen Carlo,PHI,0,1,0,0,0,0,1
Mabilin Carlo,PHI,0,1,0,0,0,0,1
Mabin Joe,USA,0,1,0,0,0,0,1
Mabute Joco,USA,0,1,0,0,0,0,1
Macabe Steve,USA,0,1,0,0,0,0,1
Macaco Anderson,USA,0,1,0,0,1,0,0
Macaco Elias,USA,0,1,0,0,0,0,1
Macaco Rosvel,USA,0,1,0,0,0,0,1
MacAlister James,USA,0,1,0,0,1,0,0
Macallister Jennah,USA,0,1,0,0,0,0,0
MaCalolooy John,USA,1,0,0,0,0,0,0
Macario William,BRA,,,,6,2,1,2
Macarrao Luciano,BRA,0,1,0,0,0,0,1
MacArthur Brandon,CAN,1,7,0,0,3,1,4
Macatol Krystal,CAN,0,1,0,0,0,0,1
MacAvoy Robert,CAN,,,,,,,
Maccarone Andy,CAN,0,1,0,0,0,0,0
MacDonald Billy,CAN,0,1,0,0,1,0,0
MacDonald Cory,CAN,2,0,0,0,0,0,0
Macdonald Eric,CAN,0,1,0,0,0,0,1
MacDonald Jacob,CAN,0,1,0,0,0,0,1
Macdonald Jake,CAN,0,1,0,0,1,0,0
MacDonald Jason,CAN,,,,3,8,,
MacDonald Kevin,CAN,,,,,,,
MacDonald Rob,CAN,2,3,0,1,1,1,2
MacDonald Rory,CAN,,,,7,3,8,0
MacDonald Ryan,USA,,,,3,1,3,0
Maceachern Brian,USA,0,1,0,0,0,0,1
Macedo Alessandro,USA,0,0,0,0,0,0,0
Macedo Cris Macfer Ferreira,USA,1,0,0,0,0,0,0
Macedo Ederson,USA,0,3,0,0,0,0,3
Macedo Rafael,BRA,4,2,0,0,1,2,0
Macedo Thiago,BRA,0,1,0,0,1,0,0
Macedo Veronica,VEN,6,4,1,1,1,2,1
Macek Filip,CZE,3,4,0,1,1,1,3
Macera Marco,CZE,1,2,0,0,2,1,0
MacFarlane Clayton,USA,4,1,0,1,1,2,0
Macfarlane Ilima-Lei,USA,,,,2,0,6,0
Macfer Ferreira Macedo Cris,BRA,0,1,0,0,0,0,1
MacGrath Chris,BRA,0,1,0,0,0,0,1
MacGrath Matt,CAN,,,,4,3,5,3
MacGregor Scott,CAN,0,4,0,0,0,0,4
Machado Alexandre,BRA,9,4,0,4,3,4,0
Machado Bruno,BRA,0,2,0,0,1,0,0
Machado Caio,BRA,5,7,0,1,2,2,1
Machado Diom,BRA,0,1,0,0,1,0,0
Machado Gustavo,BRA,5,7,0,0,3,1,1
Machado Hitalo,BRA,1,2,0,0,2,1,0
Machado Jean Jacques,BRA,0,1,0,0,1,0,0
Machado Mauricio,BRA,0,4,0,0,4,0,0
Machado Nestor,URU,1,0,0,0,0,1,0
Machado Nicleide,URU,0,1,0,0,1,0,0
Machado Paulo,URU,0,1,0,0,1,0,0
Machado Rafael Fagundes,USA,0,4,0,0,0,0,3
Machado Shawn,USA,0,1,0,0,0,0,0
Machado Sydney,USA,1,3,0,0,2,0,0
Machado Tais,USA,0,1,0,0,1,0,0
Machado Valesca,BRA,8,3,0,4,0,0,0
Machado Wellington,BRA,0,1,0,0,0,0,1
Machado Yure,BRA,0,1,0,0,0,0,0
Machado Oliveira Andre Luis,BRA,1,2,0,1,1,0,1
Machaev Murad,RUS,,,,5,1,,
Machan Josh,CAN,,,,1,2,,
Machan Ryan,CAN,3,4,0,0,0,3,2
Machet Matteo,CAN,0,1,0,0,1,0,0
