Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
O'Brien Jake,USA,0.0,7.0,2.0,2.0,2.0
O'Brien John,USA,0.0,0.0,0.0,0.0,1.0
O'Brien Kieran,USA,0.0,0.0,0.0,0.0,0.0
O'Brien Nicholas,USA,0.0,0.0,1.0,0.0,0.0
O'Brien TJ,USA,0.0,0.0,2.0,0.0,0.0
O'Brien Tyler,CAN,0.0,0.0,2.0,0.0,0.0
O'Connell Dennis,CAN,0.0,0.0,0.0,0.0,0.0
O'Connell Jacob,AUS,0.0,0.0,1.0,1.0,0.0
O'Connell Rory,AUS,0.0,0.0,0.0,0.0,1.0
O'Connell Sean,AUS,0.0,0.0,0.0,3.0,2.0
O'Connor Anthony,ENG,0.0,0.0,2.0,0.0,0.0
O'Connor Dan,USA,0.0,1.0,0.0,3.0,1.0
O'Connor Matt,USA,0.0,0.0,1.0,0.0,0.0
O'Daniel Edward,USA,0.0,0.0,1.0,0.0,1.0
O'Donnell Kieran,USA,0.0,0.0,0.0,0.0,0.0
O'Donnell Mike,USA,0.0,0.0,0.0,1.0,0.0
O'Donnell Victor,USA,0.0,1.0,1.0,0.0,0.0
O'Driscoll Blaine,IRL,0.0,2.0,1.0,2.0,2.0
O'Fee Kev,IRL,0.0,0.0,0.0,0.0,1.0
O'Gorman Darren,IRL,0.0,0.0,4.0,0.0,0.0
O'Grady Dom,IRL,1.0,0.0,4.0,2.0,1.0
O'Grady Sean,IRL,0.0,0.0,0.0,0.0,1.0
O'Haire Sean,IRL,0.0,0.0,1.0,0.0,0.0
O'Hearn Kylie,IRL,0.0,0.0,1.0,0.0,0.0
O'Keefe Dan,IRL,0.0,0.0,0.0,0.0,1.0
O'Keefe Steve,IRL,0.0,0.0,2.0,3.0,1.0
O'Lena Charles,USA,0.0,0.0,0.0,0.0,0.0
O'Loughran Alan,USA,0.0,0.0,0.0,1.0,0.0
O'Malley Dallas,USA,0.0,0.0,0.0,0.0,1.0
O'Malley Dorlan,USA,0.0,0.0,1.0,0.0,1.0
O'Malley Mike,USA,0.0,0.0,0.0,0.0,1.0
O'Malley Pat,USA,0.0,0.0,1.0,0.0,0.0
O'Malley Sean,USA,0.0,0.0,0.0,1.0,0.0
O'Neal Bren,USA,0.0,0.0,0.0,0.0,0.0
O'Neal Jeremiah,USA,0.0,2.0,5.0,0.0,0.0
O'Neal Tommy,USA,0.0,0.0,0.0,0.0,1.0
O'Neil Addison,USA,0.0,0.0,1.0,0.0,0.0
O'Neil Chuck,USA,0.0,6.0,3.0,6.0,3.0
O'Neil Coby,USA,0.0,0.0,0.0,0.0,1.0
O'Neil Toby,USA,0.0,0.0,1.0,0.0,0.0
O'Neil Vernon,USA,0.0,0.0,0.0,0.0,0.0
O'Neill Casey,USA,0.0,3.0,0.0,2.0,0.0
O'Neill Mike,CAN,0.0,0.0,0.0,1.0,1.0
O'Neill Stephen,CAN,0.0,0.0,0.0,0.0,0.0
O'Neill Wes,ENG,0.0,0.0,2.0,0.0,0.0
O'Reilly Brendan,AUS,0.0,1.0,1.0,2.0,0.0
O'Reilly Patrick,AUS,0.0,0.0,1.0,0.0,0.0
O'Rourke Colin,AUS,0.0,0.0,1.0,0.0,0.0
O'Shaughnessy Scott,AUS,0.0,0.0,0.0,0.0,1.0
O'Shea Shane,USA,0.0,2.0,0.0,2.0,1.0
O'Sullivan Carla,USA,0.0,0.0,0.0,0.0,1.0
O'Toole Alex,ENG,1.0,0.0,1.0,0.0,0.0
O'Toole Mark,ENG,0.0,0.0,0.0,0.0,1.0
Oates Mark,ENG,0.0,0.0,0.0,0.0,1.0
Oba Takahiro,ENG,0.0,0.0,2.0,0.0,2.0
Oban Takaaki,JPN,0.0,0.0,1.0,0.0,0.0
Obashkin Dmitry,JPN,0.0,0.0,1.0,0.0,0.0
Obasi Shawn,USA,0.0,0.0,0.0,0.0,1.0
Obata Koji,USA,0.0,0.0,1.0,0.0,0.0
Obata Taro,USA,0.0,0.0,0.0,0.0,1.0
Obe Steve,USA,0.0,0.0,1.0,0.0,0.0
Obermiller Chad,USA,0.0,0.0,1.0,1.0,2.0
Obi Chike,USA,0.0,0.0,0.0,0.0,0.0
Obiya Nobuhiro,USA,0.0,0.0,1.0,0.0,0.0
Obolenskiy Robert,USA,0.0,0.0,0.0,0.0,1.0
Obolevics Joanne,AUS,0.0,0.0,1.0,0.0,0.0
