Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Zaba Arkadiusz,,0,1,0,0,0,0,0
Zaba Marcin,,0,1,0,0,0,0,0
Zabolotny Dmitry,,1,3,0,0,2,1,1
Zabrocki Michael,,0,1,0,0,1,0,0
Zac Charlie,,0,2,0,0,0,0,2
Zachrich Luke,USA,,,,4,1,7,3
Zaczkiewicz Sylwia,POL,0,1,0,0,1,0,0
Zadernovsky Igor,POL,0,2,0,0,0,0,2
Zadruzynski Filip,POL,0,1,0,0,0,0,1
Zafir Anton,AUS,7,3,0,3,3,3,0
Zaghdoudi Rida,AUS,0,1,0,0,1,0,0
Zagirov Arslan,AUS,0,1,0,0,1,0,0
Zagirov Dibir,AUS,0,2,0,0,1,0,1
Zaglewski Radoslaw,POL,0,1,0,0,1,0,0
Zagubinoga Ivan,UKR,0,1,0,0,0,0,1
Zahabi Aiemann,CAN,8,2,0,5,1,2,0
Zahalka Jared,USA,0,1,0,0,1,0,0
Zahariev Emil,USA,2,5,0,2,3,0,1
Zahariev Svetoslav,USA,0,2,0,0,0,0,2
Zaidi Asim,USA,0,2,0,0,1,0,0
Zaipulaev Gadji,USA,4,2,0,1,0,2,2
Zaitsev Alexander,USA,0,1,0,0,0,0,0
Zajac Adam,USA,1,1,0,1,1,0,0
Zak Josef,USA,0,1,0,0,1,0,0
Zak Ladislav,USA,0,4,0,0,1,0,1
Zak Tomas,USA,0,1,0,0,1,0,0
Zakaryan Smbat,USA,0,1,0,0,1,0,0
Zakharian Ishkhan,USA,0,6,0,0,2,0,4
Zakharov Oleg,RUS,0,1,0,0,0,0,1
Zakir Lalashov,RUS,0,1,0,0,0,0,1
Zakryan Vahe,RUS,0,1,0,0,0,0,1
Zakrzewski Slawomir,RUS,0,1,0,0,1,0,0
Zalal Youssef,MAR,,,,2,0,5,0
Zalani Zeli,MAR,0,1,0,0,0,0,1
Zaleski dos Santos Elizeu,BRA,,,,,,3,2
Zalewski Pawel,POL,0,2,0,0,1,0,0
Zalikhvatko Sergey,POL,0,1,0,0,1,0,0
Zamanov Orudzh,AZE,0,1,0,0,0,0,1
Zamarron George,AZE,0,1,0,0,0,0,1
Zamarron Ruben,AZE,0,1,0,0,1,0,0
Zamboanga Denice,AZE,8,1,0,2,0,3,0
Zambrano Erick,AZE,0,1,0,0,1,0,0
Zamora Anthony,AZE,0,1,0,0,1,0,0
Zamora Antonio,AZE,0,1,0,0,0,0,0
Zamora Claudia,USA,3,2,0,1,0,1,0
Zamora Joe Angel,USA,0,1,0,0,0,0,1
Zamora Michael,USA,0,1,0,0,0,0,1
Zamora Steven,USA,0,1,0,0,0,0,1
Zamora Walter,CRC,0,3,0,0,0,0,0
Zamorano Mike,CRC,0,1,0,0,0,0,1
Zampakikas Angelos,CRC,0,1,0,0,1,0,0
Zampieri Luciano,CRC,0,1,0,0,1,0,0
Zancanaro Willy,CRC,0,1,0,0,0,0,0
Zane Zach,USA,,,,4,1,,
Zanetti Andrea,ITA,0,1,0,0,0,0,0
Zani Daniel,ITA,0,1,0,0,0,0,1
Zani Vinicius,BRA,,,,5,3,2,1
Zanko Tony,ITA,1,5,0,1,2,0,2
Zanski Mike,ITA,0,1,0,0,0,0,1
Zapata Juan,ITA,1,0,0,1,0,0,0
Zapata Omar,ITA,1,1,0,0,0,0,1
Zapata Roger,USA,4,3,0,3,1,0,1
Zapata Sasuke,USA,0,0,0,0,0,0,0
Zapater Jose Luis,USA,0,2,0,0,2,0,0
Zapoulaev Mikhail,USA,0,1,0,0,0,0,1
Zappitella Alesha,USA,9,3,0,0,0,2,0
Zappone Cody,USA,0,1,0,0,0,0,0
Zaradzki Wojciech,USA,0,1,0,0,0,0,0
Zarate Daniel,USA,0,1,0,0,1,0,0
Zarate Jhon,USA,1,0,0,0,0,0,0
Zarate Mario,USA,0,1,0,0,1,0,0
Zarate Nick,USA,0,1,0,0,1,0,0
Zarauz Jose,PER,0,3,1,0,1,0,0
Zarco Aden,PER,0,3,0,0,2,0,1
Zarco Arie,PHI,0,1,0,0,1,0,0
Zaribzhanov Djamadyn,UZB,0,1,0,0,1,0,0
Zaripov Dilshod,UZB,0,1,0,0,1,0,0
Zaripov Firdavs,UZB,0,2,0,0,1,0,1
Zarmanbetov Bagaudin,UZB,1,1,0,1,0,0,1
Zarmanbetov Murad,RUS,1,0,0,1,0,0,0
Zaromskis Marius,LTU,,,,,,1,0
Zas Agustin,URU,0,1,0,0,0,0,1
Zasa TJ,URU,0,1,0,0,0,0,1
Zatarain Fernando,URU,0,1,0,0,1,0,0
Zathureczky Zsolt,URU,0,1,0,0,0,0,0
Zatuchnyy Rostislav,GER,0,3,0,0,1,0,1
Zauers Igor,GER,0,1,0,0,1,0,0
Zavgorodniy Evgeniy,GER,0,1,0,0,0,0,0
Zaviazochnikov Evgenij,GER,0,1,0,0,0,0,1
Zavurov Shamil,RUS,,,,,,5,2
Zawada David,GER,,,,,,4,1
Zawada Martin,GER,,,,,,5,2
Zawadzki Bartosz,GER,0,1,0,0,0,0,1
Zawadzki Mateusz,GER,0,1,0,0,1,0,0
Zawidzki Rafal,GER,0,1,0,0,0,0,1
Zawirowski Boguslaw,POL,1,0,0,0,0,1,0
Zayats Mikhail,RUS,,,,4,3,,
Zaynukov Artur,RUS,0,1,0,0,0,0,0
Zaynullin Artur,RUS,0,1,0,0,0,0,1
Zazelenchuk Jason,RUS,0,2,0,0,0,0,2
Zazhigin Anton,RUS,0,1,0,0,1,0,0
Zazueta Derek,RUS,,,,,,,
Zazulak Brad,RUS,1,0,0,1,0,0,0
Zbiciak Przemyslaw,RUS,0,2,0,0,1,0,1
Zbonik Quesia,BRA,0,1,0,0,1,0,0
Zdansky Jan,BRA,0,2,0,0,1,0,1
Zdravkov Zdravko,BRA,0,1,0,0,0,0,1
Zea Alejandro,BRA,0,2,0,0,0,0,2
Zebian Ali,USA,1,1,0,0,0,0,0
Zebroski Dimitry,USA,0,3,0,0,1,0,0
Zecchi Leonardo,ITA,1,0,0,0,0,1,0
Zecchino John,ITA,0,1,0,0,1,0,0
Zee Marc,ITA,0,1,0,0,1,0,0
Zeferino Joao,BRA,,,,4,4,,
Zelazowski Pawel,BRA,1,1,0,1,0,0,0
Zelinski Tony,USA,0,6,0,0,4,0,2
Zellhuber Daniel,USA,,,,7,0,2,0
Zellner Craig,USA,0,2,0,0,1,0,1
Zeman Branislav,USA,0,1,0,0,0,0,1
Zeman Melissa,USA,0,0,1,0,0,0,0
Zemlyakov Aleksandr,USA,0,1,0,0,1,0,0
Zender Anthony,USA,0,5,0,0,2,0,3
Zenidim Bueno Ranieri Yuri,BRA,0,1,0,0,0,0,0
Zenin Vladimir,BRA,0,1,0,0,0,0,0
Zeno Justin,BRA,0,1,0,0,1,0,0
Zenong Dongzhu,BRA,0,1,0,0,0,0,0
Zent Eric,BRA,0,1,0,0,0,0,1
Zentgraf Jason,USA,8,3,0,0,0,8,1
Zentsov Roman,USA,3,5,0,2,2,0,3
Zequeira Luis,USA,0,1,0,0,1,0,0
Zerbone Fernando,BRA,0,1,0,0,0,0,0
Zerhouni Laid,FRA,0,2,0,0,0,0,2
Zerjal Milan,USA,2,0,0,0,0,2,0
Zettergreen Nigel,CAN,0,1,0,0,0,0,0
Zeugin Jesse,CAN,0,3,0,0,0,0,3
Zevallos Carlos,USA,3,4,0,1,3,1,0
Zezelic Luka,USA,0,1,0,0,0,0,1
Zgela Mario,USA,0,2,0,0,0,0,1
Zhakhangirov Kazim,USA,0,1,0,0,0,0,1
Zhalalidze Giorgi,GEO,0,1,0,0,0,0,0
Zhaldoshov Adilbek,RUS,0,1,0,0,1,0,0
Zhamaldaev Salaman,RUS,3,0,0,0,0,0,0
Zhamaldaev Salman,RUS,1,1,0,1,0,0,1
Zhamaldinov Adam,RUS,0,1,0,0,0,0,1
Zhamurzov Beslan,RUS,0,1,0,0,1,0,0
Zhanbolato Adam,RUS,0,1,0,0,1,0,0
Zhancaev Rizvan,RUS,0,1,0,0,0,0,1
Zhang Caibao,RUS,0,3,0,0,2,0,1
Zhang Gang,RUS,0,1,0,0,0,0,1
Zhang Lipeng,CHN,,,,3,0,3,5
Zhang Meixuan,CHN,3,3,0,1,0,2,1
Zhang Mingyang,CHN,8,6,0,5,3,3,2
Zhang Pu,CHN,0,1,0,0,1,0,0
Zhang Tiequan,CHN,,,,3,1,,
Zhang Tiequan,CHN,0,0,0,0,0,0,0
Zhang Yongqiang,CHN,0,1,0,0,0,0,1
Zhang Youliang,CHN,0,1,0,0,0,0,1
Zhang Yubin,CHN,0,1,0,0,0,0,1
Zhang Zhao,CHN,0,1,0,0,1,0,0
Zhanybekov Almanbet,CHN,0,2,0,0,0,0,2
Zhao Cheng,CHN,0,1,0,0,1,0,0
Zhao Tao,CHN,0,1,0,0,0,0,1
Zhao Wuheng,CHN,0,0,0,0,0,0,0
Zhao Xianchao,CHN,0,1,0,0,1,0,0
Zhao Ya,CHN,0,1,0,0,0,0,0
Zhao Yanfei,CHN,0,3,0,0,0,0,0
Zhao Zhikang,CHN,1,0,0,0,0,0,0
Zhekalov Evgeny,UKR,0,1,0,0,1,0,0
Zhelezkov Todor,UKR,0,1,0,0,1,0,0
Zheleznyakova Dariya,UKR,1,0,0,0,0,0,0
Zhemukhov Ruslan,RUS,0,1,0,0,1,0,0
Zheng Boqie,RUS,1,2,0,0,1,0,1
Zheng Xiaoliang,CHN,1,2,0,1,0,0,1
Zhenhong Lu,CHN,,,,8,1,5,0
Zhernikov Yuri,CHN,0,1,0,0,0,0,1
Zhetpisbayev Zhumageldy,KAZ,0,1,0,0,1,0,0
Zhifa Shang,CHN,,,,4,1,,
Zhikui Yao,CHN,2,4,0,0,1,1,0
Zhlobich Vadim,CHN,0,2,0,0,1,0,1
Zholdasbayev Abdrashyt,KGZ,0,1,0,0,0,0,1
Zholdoshbekov Sultan,KGZ,0,1,0,0,0,0,0
Zhong Guoqing,CHN,0,1,0,0,0,0,0
Zhong Guowei,CHN,0,1,0,0,0,0,1
Zhori Devi,CHN,0,1,0,0,1,0,0
Zhou Hongyang,CHN,0,1,0,0,0,0,1
Zhou Kun,CHN,0,1,0,0,0,0,0
Zhou Hong Zhang,CHN,0,1,0,0,0,0,1
Zhu Jiang,CHN,0,1,0,0,1,0,0
Zhu Jinghuan,CHN,0,1,0,0,0,0,1
Zhu Qingxiang,CHN,0,1,0,0,0,0,1
Zhu Rong,CHN,,,,,,4,3
Zhu Rongshuai,CHN,0,1,0,0,1,0,0
Zhu Yonglong,CHN,0,1,0,0,0,0,1
Zhuk Artem,BLR,0,1,0,0,0,0,1
Zhumageldy Zhalgasuly,KAZ,0,1,0,0,0,0,1
Zhumagulov Zhalgas,KAZ,,,,6,2,2,0
Zhuraev Tohir,KAZ,0,1,0,0,0,0,0
Zhusupov Sabit,KAZ,0,1,0,0,0,0,0
Ziam Fares,FRA,,,,5,0,4,2
Zichelle Mike,USA,8,4,0,6,1,2,2
Zickerman Jason,USA,0,1,0,0,0,0,1
Zidar Ivan,CRO,1,0,0,1,0,0,0
Ziebarth Eric,USA,0,1,0,0,0,0,1
Ziebert Florian,USA,0,1,0,0,1,0,0
Zielinski Adrian,POL,4,4,0,2,1,0,1
Zielinski Rob,POL,1,2,0,1,1,0,1
Ziemer Cristian,POL,0,1,0,0,0,0,1
Zighelbom Grau Dana,PER,0,1,0,0,0,0,0
Zihan Xu,PER,0,1,0,0,0,0,0
Zikic James,ENG,3,6,1,2,1,0,0
Zilius Arvydas,ENG,0,2,0,0,0,0,2
Zilius Edvardas,ENG,0,1,0,0,0,0,1
Zimko Pavel,ENG,0,1,0,0,0,0,1
Zimmer Josh,ENG,0,1,0,0,1,0,0
Zimmer Mike,ENG,1,0,0,0,0,0,0
Zimmerman Billy,USA,0,2,0,0,0,0,1
Zimmerman Christy,USA,0,1,0,0,0,0,1
Zimmerman Dakota,USA,1,1,0,1,0,0,0
Zimmerman Errol,USA,0,1,0,0,0,0,1
Zimmerman Heath,USA,0,1,0,0,1,0,0
Zimmerman Nick,USA,0,1,0,0,1,0,0
Zimmerman Piankhi,USA,0,1,1,0,1,0,0
Zimolag Dariusz,POL,0,2,0,0,1,0,0
Zingano Cat,USA,,,,5,1,4,1
Zinoviev Igor,USA,0,1,0,0,1,0,0
Zinovyeva Nadezhda,USA,0,1,0,0,0,0,0
Zinser Andrew,USA,0,1,0,0,1,0,0
Ziolkowski Ireneusz,POL,0,1,0,0,0,0,0
ZioBkowski Marian,POL,,,,6,2,,
Zitanick Dave,POL,0,1,0,0,0,0,0
Zivkovic Jason,POL,0,1,0,0,1,0,0
Zlobinski Zbigniew,POL,0,2,0,0,0,0,1
Zlotnicki Damian,POL,0,1,0,0,1,0,0
Zmarandescu Catalin,POL,0,2,0,0,2,0,0
Zobnin Jacob,POL,0,1,0,0,0,0,1
Zogg Jacob,USA,0,3,0,0,3,0,0
Zokirzhonov Akbarshoh,USA,0,1,0,0,1,0,0
Zoltsetseg Shinechagtga,USA,6,3,0,4,1,0,1
Zomcik Jessica,USA,0,1,0,0,1,0,0
Zomer Mark,RUS,0,1,0,0,1,0,0
Zomkowski Alecia,RUS,0,1,0,0,0,0,1
Zontek Marcin,POL,0,3,0,0,0,0,2
Zorin Mawiia Xico,POL,0,1,0,0,0,0,1
Zormaefv Aslanbek,POL,0,0,1,0,0,0,0
Zorn Asa,POL,0,2,0,0,2,0,0
Zorthian Jason,POL,0,1,0,0,0,0,1
Zorzettie Matt,POL,0,1,0,0,0,0,1
Zosimov Igor,UKR,0,1,0,0,0,0,1
Zotek Marius,UKR,0,1,0,0,1,0,0
Zou Jinbo,UKR,0,2,0,0,0,0,2
Zouak Rizlen,UKR,1,0,0,1,0,0,0
Zozulja Andrejs,UKR,0,3,0,0,2,0,1
Zubachov Alexander,UKR,0,1,0,0,0,0,1
Zubairov Magomedrasul,UKR,0,1,0,0,1,0,0
Zubenko Andrey,UKR,0,1,0,0,0,0,1
Zubiate Felix,UKR,0,1,0,0,1,0,0
Zubkov Sergey,RUS,0,1,0,0,0,0,0
Zubkov Vasiliy,RUS,0,2,0,0,0,0,0
Zubov Andrei,RUS,0,1,0,0,0,0,1
Zubritska Anna,RUS,0,1,0,0,0,0,1
Zuckerman Josh,USA,0,4,0,0,1,0,3
Zuev Evgeniy,USA,0,1,0,0,0,0,1
Zuev Gennadi,USA,0,0,1,0,0,0,0
Zugurov Bekhruz,USA,1,0,0,0,0,0,0
Zulu Nkazimulo,RSA,0,1,0,0,0,0,0
Zumbi Leandro,RSA,0,1,0,0,0,0,1
Zuniga Alex,USA,0,1,0,0,0,0,0
Zuniga Alex,USA,0,1,0,0,1,0,0
Zuniga Allan,CRC,,,,3,0,4,0
Zuniga David,USA,0,1,0,0,1,0,0
Zuniga George,USA,0,0,0,0,0,0,0
Zuniga Jhan,VEN,0,1,0,0,0,0,1
Zunner Alan,USA,0,1,0,0,0,0,1
Zvijer Stefan,SER,0,1,0,0,0,0,0
Zwicker Elsie,SER,0,2,0,0,0,0,2
Zwicker Virgil,USA,,,,,,2,3
Zwiefka Pawel,USA,0,1,0,0,0,0,0
Zydak Pawel,USA,0,2,0,0,1,0,1
Zyglinski Pawel,USA,0,1,0,0,0,0,1
Zygmunt Weronika,POL,0,3,0,0,1,0,2
Zywica Dawid,POL,1,0,0,0,0,0,0
