Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
R.C. Stevens,,0,0,0,0,0,0,0
Raad Assaad,,0,1,0,0,1,0,0
Rabadanov Akhil,,0,1,0,0,0,0,0
Rabadanov Gadzhi,RUS,,,,7,2,4,1
Rabadon Jesus,RUS,0,1,0,0,1,0,0
Rabatel Joffrey,RUS,0,1,0,0,1,0,0
Rabaud Julian,RUS,0,1,0,0,1,0,0
Raberg Olle,SWE,1,0,0,0,0,0,0
Raborn Jimmy,SWE,0,1,0,0,0,0,1
Rabugento Fabiano,SWE,0,1,0,0,1,0,0
Rachek Nikolay,RUS,0,1,0,0,0,0,1
Rachid Hicham,RUS,0,2,0,0,1,0,1
Racic Antun,CRO,,,,0,1,,
Racine Mark,CRO,0,2,0,0,1,0,0
Rackliff Victor,CRO,0,2,0,0,2,0,0
Racz Egon,CRO,0,2,0,0,0,0,2
Racz Iren,CRO,0,5,1,0,1,0,3
Racz Istvan,CRO,0,1,0,0,1,0,0
Raczynski Edwin,CRO,0,1,0,0,0,0,0
Raczynski Rafal,CRO,0,1,0,0,1,0,0
Radach Benji,USA,4,5,0,3,3,0,0
Radael Ademir,BRA,0,1,0,0,1,0,0
Radakovic Marko,BRA,1,0,0,0,0,0,0
Radanzzo Joey,BRA,0,1,0,0,0,0,1
Radcliff Aaron,BRA,0,1,0,0,0,0,1
Radcliffe Jason,ENG,,,,,,4,3
Radcliffe Tim,ENG,2,2,0,0,1,2,0
Rader Charlie,USA,1,4,0,1,1,0,3
Rader Chaylen,USA,0,1,0,0,0,0,1
Rader Justin,USA,7,3,0,2,2,2,0
Rader Tim,USA,0,1,0,0,0,0,1
Radesku Sylvia,USA,0,1,0,0,0,0,1
Radev Jordan,USA,5,3,0,1,1,0,0
Radford Dave,USA,0,2,0,0,1,0,1
Radionova Daria,RUS,0,1,0,0,1,0,0
Radjabov Khizri,RUS,0,1,0,0,0,0,1
Radke Christian,RUS,1,0,0,0,0,1,0
Radkie Connor,RUS,0,1,0,0,1,0,0
Radko Ludmila,RUS,0,2,0,0,0,0,2
Radleim Erik,MEX,0,1,0,0,0,0,1
Radley Tim,MEX,0,1,0,0,0,0,1
Radman Anton,CRO,1,2,0,0,1,1,0
Radnov Mike,CRO,1,1,0,1,1,0,0
Radomski Robert,POL,,,,1,1,5,1
Rados Steve,POL,,,,,,,
Radosavljevic Aleksandar,SER,0,2,0,0,1,0,0
Radosavljevic Branimir,SER,0,1,0,0,0,0,1
Radtka Nick,USA,0,2,0,0,0,0,2
Radtke Charlie,USA,0,3,0,0,1,0,0
Radu Maxim,ITA,0,1,0,0,1,0,0
Raducanu Ionut,ITA,0,1,0,0,0,0,1
Radzhabov Kurban,RUS,0,1,0,0,0,0,1
Radzhabov Loik,TJK,,,,7,0,4,0
Radzhabov Magomed,RUS,0,1,0,0,0,0,1
Radziszewski Mariusz,POL,0,1,1,0,1,0,0
Radzuan Jihin,POL,1,1,0,0,0,0,0
Raeburn Phil,WAL,0,3,0,0,1,0,2
Raedel Greg,WAL,0,0,0,0,0,0,0
Rael Diana,WAL,1,5,0,1,1,0,4
Rael Gilbert,WAL,0,1,0,0,1,0,0
Rafael Cleiton,WAL,0,1,0,0,1,0,0
Rafael Rafael,WAL,0,1,0,0,0,0,1
Rafael dos Santos Jeferson,BRA,0,1,0,0,0,0,1
Rafdel Chad,BRA,0,4,0,0,1,0,3
Rafferty Josh,BRA,0,2,0,0,2,0,0
Rafikov Shamil,BRA,0,1,0,0,0,0,1
Rafiq Brayan,BRA,1,1,0,0,1,1,0
Rafols Jessie,BRA,0,3,0,0,1,0,2
Ragimov Agil,BRA,0,1,0,0,0,0,1
Ragimov Tural,AZE,,,,4,4,5,1
Ragozin Mikhail,RUS,9,2,0,5,1,3,0
Ragusa Sebastiano,RUS,0,1,0,0,0,0,1
Rahael Patrick,RUS,0,1,0,0,1,0,0
Rahalevich Artsem,BLR,0,1,0,0,0,0,1
Rahardian Stefer,INA,0,1,0,0,0,0,0
Rahat Hassen,FRA,0,2,0,0,1,0,1
Rahimbayev Arhat,FRA,0,1,0,0,0,0,1
Rahimov Teimur,FRA,0,1,0,0,0,0,1
Rahman Mok,FRA,1,1,0,1,1,0,0
Rahman Usama,FRA,0,2,0,0,2,0,0
Rahnavardi Amir,USA,0,3,0,0,1,0,1
Rai Upneet,USA,0,1,0,0,0,0,1
Raika Emiko,JPN,2,4,0,1,1,0,1
Raimundi Josemir,BRA,0,1,0,0,0,0,0
Raimundo Arcangela Silva David,BRA,0,1,0,0,0,0,1
Raimundo Silva Kleber,BRA,2,5,0,2,2,0,1
Rain Kaiyana,BRA,1,3,0,0,0,0,1
Raines Donny,BRA,1,0,0,0,0,1,0
Raines Matt,BRA,0,2,0,0,0,0,1
Rainey Ricky,USA,,,,7,4,1,0
Raio John,USA,1,3,0,0,3,1,0
Raisov Yusuf,RUS,,,,1,0,8,0
Raj Pablo,RUS,0,1,0,0,0,0,0
Rajacic Aleksandar,RUS,0,2,0,0,0,0,0
Rajewski Lukasz,RUS,0,3,0,0,0,0,1
Rajewski Robert,POL,0,1,0,0,1,0,0
Rajewski Sebastian,POL,,,,4,3,0,1
Rajman Aaron,POL,0,1,0,0,1,0,0
Raju Rahul,POL,7,5,0,2,2,4,1
Rakas Aleksandar,POL,0,1,0,0,0,0,1
Rakchal Fagner,BRA,0,2,0,0,1,0,1
