Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
O'Brien Jake,USA,,,,7,2,2,2
O'Brien John,USA,0,1,0,0,0,0,1
O'Brien Kieran,USA,0,1,0,0,0,0,0
O'Brien Nicholas,USA,0,1,0,0,1,0,0
O'Brien TJ,USA,,,,0,2,,
O'Brien Tyler,CAN,0,2,0,0,2,0,0
O'Connell Dennis,CAN,,,,,,,
O'Connell Jacob,AUS,1,1,0,0,1,1,0
O'Connell Rory,AUS,0,2,0,0,0,0,1
O'Connell Sean,AUS,,,,,,3,2
O'Connor Anthony,ENG,0,2,0,0,2,0,0
O'Connor Dan,USA,4,2,0,1,0,3,1
O'Connor Matt,USA,0,1,0,0,1,0,0
O'Daniel Edward,USA,0,2,0,0,1,0,1
O'Donnell Kieran,USA,0,1,0,0,0,0,0
O'Donnell Mike,USA,1,0,0,0,0,1,0
O'Donnell Victor,USA,1,4,0,1,1,0,0
O'Driscoll Blaine,IRL,6,4,0,2,1,2,2
O'Fee Kev,IRL,0,1,0,0,0,0,1
O'Gorman Darren,IRL,0,5,0,0,4,0,0
O'Grady Dom,IRL,3,8,1,0,4,2,1
O'Grady Sean,IRL,0,1,0,0,0,0,1
O'Haire Sean,IRL,0,1,0,0,1,0,0
O'Hearn Kylie,IRL,0,2,0,0,1,0,0
O'Keefe Dan,IRL,0,1,0,0,0,0,1
O'Keefe Steve,IRL,3,3,0,0,2,3,1
O'Lena Charles,USA,0,1,0,0,0,0,0
O'Loughran Alan,USA,1,0,0,0,0,1,0
O'Malley Dallas,USA,0,1,0,0,0,0,1
O'Malley Dorlan,USA,0,2,0,0,1,0,1
O'Malley Mike,USA,0,1,0,0,0,0,1
O'Malley Pat,USA,0,1,0,0,1,0,0
O'Malley Sean,USA,,,,,,1,0
O'Neal Bren,USA,0,1,0,0,0,0,0
O'Neal Jeremiah,USA,,,,2,5,,
O'Neal Tommy,USA,0,1,0,0,0,0,1
O'Neil Addison,USA,0,1,0,0,1,0,0
O'Neil Chuck,USA,,,,6,3,6,3
O'Neil Coby,USA,0,1,0,0,0,0,1
O'Neil Toby,USA,0,1,0,0,1,0,0
O'Neil Vernon,USA,0,1,0,0,0,0,0
O'Neill Casey,USA,8,0,0,3,0,2,0
O'Neill Mike,CAN,1,1,0,0,0,1,1
O'Neill Stephen,CAN,0,0,0,0,0,0,0
O'Neill Wes,ENG,0,2,0,0,2,0,0
O'Reilly Brendan,AUS,6,3,0,1,1,2,0
O'Reilly Patrick,AUS,0,1,0,0,1,0,0
O'Rourke Colin,AUS,0,2,0,0,1,0,0
O'Shaughnessy Scott,AUS,0,2,0,0,0,0,1
O'Shea Shane,USA,4,2,0,2,0,2,1
O'Sullivan Carla,USA,0,1,0,0,0,0,1
O'Toole Alex,ENG,0,1,1,0,1,0,0
O'Toole Mark,ENG,0,1,0,0,0,0,1
Oates Mark,ENG,0,1,0,0,0,0,1
Oba Takahiro,ENG,0,4,0,0,2,0,2
Oban Takaaki,JPN,0,1,0,0,1,0,0
Obashkin Dmitry,JPN,0,1,0,0,1,0,0
Obasi Shawn,USA,0,1,0,0,0,0,1
Obata Koji,USA,0,1,0,0,1,0,0
Obata Taro,USA,0,1,0,0,0,0,1
Obe Steve,USA,0,1,0,0,1,0,0
Obermiller Chad,USA,1,3,0,0,1,1,2
Obi Chike,USA,0,1,0,0,0,0,0
Obiya Nobuhiro,USA,1,4,0,0,1,0,0
Obolenskiy Robert,USA,0,2,0,0,0,0,1
Obolevics Joanne,AUS,0,1,0,0,1,0,0
Oborotov Arnold,ENG,0,1,0,0,0,0,1
Obregon Javier,ENG,1,8,0,0,3,0,4
Obutobe Baygon,ENG,0,1,0,0,1,0,0
Ocampo Jamar,ENG,0,1,0,0,1,0,0
Ocampo Javier,ENG,0,1,0,0,0,0,1
Ocampo Nelson,ENG,0,2,0,0,2,0,0
Ocampos Aldo,ENG,0,1,0,0,1,0,0
Ocasio Brandon,ENG,0,2,0,0,1,0,1
Occena Leo,ENG,0,1,0,0,1,0,0
Ochi Haruo,JPN,3,4,0,1,0,0,0
Ochoa Carlos,JPN,0,1,0,0,0,0,1
Ochoa Hector,JPN,0,1,0,0,0,0,0
Ochoa Castro Carlos Ernesto,USA,0,1,0,0,0,0,1
Ochtabinski Marcin,POL,0,1,0,0,0,0,1
Ockerman Brent,USA,0,1,0,0,1,0,0
Ocon Christian,USA,4,2,0,1,0,1,0
Octavio Josemar,USA,0,1,0,0,0,0,1
Oda Tenkei,USA,1,2,0,1,1,0,0
Odagiri Isamu,JPN,0,1,0,0,0,0,0
Odakura Nobuo,JPN,0,1,0,0,1,0,0
Odawara Fuminao,JPN,0,1,0,0,1,0,0
Oden Toby,JPN,0,1,0,0,0,0,0
Odilbekov Artur,JPN,0,1,0,0,0,0,1
Odilov Faridun,TJK,0,1,0,0,1,0,0
Odinaev Shafkat,UZB,0,1,0,0,1,0,0
Odintsov Mikhail,BLR,,,,6,0,4,1
Odle David,BLR,0,1,0,0,0,0,1
Odnorog Evgeniy,BLR,0,1,0,0,0,0,0
Odom Brandon,USA,0,2,0,0,2,0,0
Odom Josh,USA,1,3,0,0,0,0,1
Odoms Richard,USA,,,,5,2,2,0
Odomusu Tunde,USA,0,2,0,0,0,0,2
Odquina Edward,USA,0,2,0,0,0,0,2
Odum Brad,USA,,,,,,,
Oduwole Yemi,USA,1,1,0,0,1,1,0
Oduyingho Tundee,USA,0,1,0,0,0,0,1
Odzimkowski Albert,POL,1,4,0,1,1,0,2
Oehlers Marsharl,POL,0,1,0,0,1,0,0
Oetelaar Andre Van Den,POL,0,1,0,0,0,0,1
Oezdemir Volkan,SUI,,,,,,1,2
Oezyildirim Mert,SUI,0,2,0,0,1,0,0
Offield Kelly,SUI,0,2,0,0,1,0,1
Ofiu Joshua,SUI,0,1,0,0,1,0,0
Ofken John,SUI,0,1,0,0,1,0,0
Oganesyan Robert,GRE,0,1,0,0,0,0,1
Oganov Erik,GRE,3,3,0,0,1,1,1
Oganyan Levon,GRE,0,1,0,0,1,0,0
Oganyan Zograb,UKR,0,1,0,0,0,0,1
Ogar Vadim,RUS,6,4,0,0,2,4,1
Ogawa Munetaka,RUS,0,1,0,0,1,0,0
Ogawa Naoya,RUS,4,3,0,1,0,3,3
Ogdahl Lori,RUS,0,1,0,0,1,0,0
Ogden Chris,RUS,0,1,0,0,1,0,0
Ogden Rick,RUS,0,2,0,0,1,0,1
Ogden Trey,USA,,,,0,0,,
Ogikubo Yusuke,JPN,0,1,0,0,0,0,0
Ogle Andy,ENG,9,6,0,2,1,3,2
Oglesby Barry,ENG,0,1,0,0,0,0,1
Ognyanov Georgi,ENG,0,1,0,0,0,0,0
Ogo John,ENG,0,1,0,0,1,0,0
Ogo Jordan,ENG,0,1,0,0,0,0,1
Ogorodniy Andrei,ENG,0,2,0,0,1,0,1
Ogrodnik Joanna,ENG,0,1,0,0,1,0,0
Ogura Takuya,ENG,0,2,0,0,0,0,1
Ogurtsov Evgeny,BLR,0,1,0,0,0,0,1
Oh Chang Min,BLR,0,1,0,0,0,0,0
Oh In Suk,BLR,0,1,0,0,0,0,1
Oh Jae Sung,BLR,0,1,0,0,0,0,0
Oh Kwon Sik,BLR,0,1,0,0,1,0,0
Oh Tae Seok,BLR,0,1,0,0,1,0,0
Ohany Fabio,BRA,0,1,0,0,1,0,0
Ohara Hajime,BRA,0,1,0,0,0,0,1
Ohara Juri,JPN,1,4,0,0,1,0,1
Ohara Michiyoshi,JPN,0,2,0,0,0,0,0
Oher Jeffery,JPN,0,1,0,0,1,0,0
Ohia Eddie,JPN,0,1,0,0,1,0,0
Ohlsson Anders,JPN,,,,,,,
Ohori Ryuji,JPN,0,2,0,0,1,0,1
Oi Yoichi,JPN,0,1,0,0,1,0,0
Oiler George,USA,0,2,0,0,1,0,1
Oishi Koji,JPN,,,,8,3,0,1
Oishi Masahiro,JPN,1,3,0,0,1,0,2
Ojaghi Hossein,JPN,0,1,0,0,0,0,1
Ojeda Luis,JPN,0,1,0,0,0,0,1
Ojugbana Leslee,JPN,0,2,0,0,0,0,2
Ok Rae Yoon,JPN,,,,4,1,1,0
Okabayashi Akira,JPN,,,,,,,
Okada Akira,JPN,0,2,1,0,1,0,0
Okada Kasuchina,JPN,0,1,0,0,0,0,1
Okada Kimie,JPN,0,1,0,0,0,0,1
Okada Komei,JPN,0,5,0,0,3,0,1
Okada Madoka,JPN,0,1,0,0,0,0,1
