Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
N'doye Jean,,0,1,0,0,0,0,0
N'Zuzi Wemba,,0,1,0,0,1,0,0
Na Liang,CHN,,,,4,2,9,2
Na Mu Jin,CHN,0,1,0,0,1,0,0
Nabavizade Akbar,CHN,0,1,0,0,1,0,0
Nabe Yukari,CHN,1,2,1,0,0,0,0
Nabiev Gunduz,CHN,0,1,0,0,0,0,1
Nacer Kamel,CHN,0,1,0,0,0,0,1
Nachio Vance,CHN,0,1,0,0,1,0,0
Nadal Paulo Giovani,CHN,0,1,0,0,0,0,1
Nader Jeff,CHN,1,1,0,1,0,0,0
Nadj Jasmina,CHN,0,1,0,0,0,0,1
Nadja Nadja,CHN,0,1,0,0,1,0,0
Nadlony Mateusz,ENG,0,1,0,0,0,0,1
Nadobny Szymon,ENG,0,1,0,0,0,0,1
Nadzhafaliev Ruslan,ENG,0,1,0,0,0,0,1
Nadzhafzade Talekh,ENG,0,1,0,0,1,0,0
Naeon Samuel,BRA,0,1,0,0,0,0,1
Nagado Hiromu,BRA,0,1,0,0,0,0,1
Nagai Kenji,BRA,0,3,0,0,1,0,2
Nagakura Tatsunao,JPN,1,1,0,0,1,0,0
Nagamine Taeko,JPN,0,1,0,0,0,0,1
Nagamoto Yasuaki,JPN,0,1,0,0,1,0,0
Nagamura Ikkei,JPN,0,1,1,0,1,0,0
Nagano Mika,JPN,1,6,0,0,1,1,1
Nagaoka Hiroki,JPN,1,4,1,0,0,0,0
Nagashim Yuichiro,JPN,0,0,0,0,0,0,0
Nagashima Yuichiro,JPN,0,1,0,0,1,0,0
Nagasoe Jun,JPN,0,1,0,0,0,0,0
Nagata Katsuhiko,JPN,2,5,2,0,2,0,2
Nagata Yuji,JPN,0,2,0,0,2,0,0
Nagayasu Kayo,JPN,0,2,1,0,0,0,0
Naghizadeh Fereidoun,JPN,0,1,0,0,1,0,0
Nagibin Timur,RUS,,,,6,1,2,1
Nagiev Muslim,RUS,0,1,0,0,0,0,1
Nagle Kenneth,RUS,0,1,0,0,1,0,0
Nagor Jose,BRA,0,1,0,0,1,0,0
