Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
L'Heureux Jarrod,USA,0,2,0,0,2,0,0
La N Sang Aung,MYA,,,,,,,
La N Sang Aung,MYA,0,0,0,0,0,0,0
La Preziosa Simone,MYA,0,1,0,0,1,0,0
la Rose Rafles,MYA,0,2,1,0,0,0,2
Laayug Chris,MNP,0,2,0,0,1,0,1
Laba Karol,MNP,0,1,0,0,1,0,0
Labar Phil,MNP,0,1,0,0,0,0,1
Labasanov Achmed,MNP,1,2,0,0,0,1,1
Labban Ahmed,MNP,0,1,0,0,0,0,0
LaBerge Josh,USA,,,,5,3,1,2
Labiano Jeremiah,USA,,,,4,2,4,0
Labrie Levis,USA,1,1,0,1,0,0,0
LaBrute Momo,USA,0,1,0,0,1,0,0
Lacelle Eric,USA,0,1,0,0,1,0,0
Lacerda Genilson,BRA,0,2,0,0,0,0,2
Lacerda Luan,BRA,1,0,0,0,0,1,0
Lacerda Otavio,BRA,0,1,0,0,1,0,0
Lacerda Tamyray,BRA,0,1,0,0,1,0,0
Lacey Aaron,USA,0,1,0,0,0,0,0
LaChapelle Dave,USA,0,1,0,0,0,0,1
Lachinov Kemran,USA,,,,2,1,3,0
Lachkova Kseniya,RUS,1,3,0,0,0,0,1
Lackner Hans,RUS,0,1,0,0,1,0,0
Lacky Tom,RUS,0,1,0,0,1,0,0
LaCroix Howard,USA,0,1,0,0,1,0,0
Lacroix Melanie,USA,3,2,0,1,0,1,0
Lacy BJ,USA,,,,0,4,0,5
Ladd Aspen,USA,9,2,0,6,1,1,0
Ladi Tamas,USA,0,1,0,0,1,0,0
Ladonna Anthony,USA,0,1,0,0,1,0,0
LaDuke Michael,USA,0,2,0,0,1,0,1
Lafaele Tipo,USA,0,2,0,0,0,0,1
LaFlair Mike,USA,0,1,0,0,0,0,1
LaFlare Ryan,USA,,,,4,2,3,0
Lafnouch Ayoub,USA,0,1,0,0,0,0,1
Lafond David,CAN,0,1,0,0,0,0,1
LaFramboise Corinne,CAN,0,2,0,0,1,0,1
LaFranchi Gary,CAN,0,2,0,0,0,0,2
Lafromboise Matt,CAN,0,3,0,0,0,0,3
Lagace Phillipe,CAN,0,1,0,0,1,0,0
Lagdaan Andrew,USA,1,3,0,0,0,0,1
Lagden Andy,USA,0,1,0,0,0,0,1
Lage Paulo,USA,0,1,0,0,1,0,0
Lagerstrom Jimmy,USA,0,1,0,0,0,0,1
Lagerstrom Sarah,USA,0,2,0,0,1,0,0
Lagler Matt,USA,1,7,0,0,4,0,1
Lagman Ben,USA,1,3,0,1,2,0,1
Lagos Patricio,USA,0,1,0,0,1,0,0
Lagou Matt,USA,0,1,0,0,0,0,1
LaGrange Josh,USA,0,1,0,0,1,0,0
Laguna Alvaro,USA,0,1,0,0,1,0,0
Laguna Ignacio,USA,0,1,0,0,0,0,1
Lagunsad Louie,USA,0,1,0,0,0,0,1
Laguwans Tommy,USA,0,1,0,0,1,0,0
Lagvilava Levon,USA,0,1,0,0,0,0,1
Lahat Noad,ISR,,,,2,4,6,0
Lahdemaki Tina,FIN,5,1,0,1,0,2,0
Lahdesmaki Matteus,FIN,1,3,0,0,2,1,0
Lahdesmaki Mikael,FIN,1,2,0,0,1,0,1
Lahr Tassilo,FIN,0,2,0,0,1,0,0
Laia Paulo Henrique,FIN,0,1,0,0,1,0,0
Lainesse Yohan,CAN,8,0,0,6,0,0,0
Lainoff David,CAN,0,1,0,0,0,0,1
Laio Laerte,CAN,0,1,0,0,0,0,1
Laiola Leonardo,BRA,1,1,0,0,0,0,0
Lair John,BRA,0,1,0,0,0,0,1
Laird Neil,BRA,0,1,0,0,1,0,0
Laird Zak,BRA,1,1,0,0,0,1,1
Lajcik Tim,BRA,0,3,1,0,2,0,0
LaJoye Greg,BRA,0,1,0,0,0,0,1
Lake Dayman,BRA,2,2,0,0,1,2,0
Lake Merrill,BRA,0,1,0,0,1,0,0
Lakebir Farouk,BRA,0,1,0,0,0,0,0
Lakhin Evgeny,RUS,1,0,0,0,0,1,0
Lakhin Yevgeniy,RUS,0,2,0,0,1,0,1
Laleye Aaron,RUS,0,1,0,0,1,0,0
Laliberte Stephane,RUS,0,3,0,0,2,0,1
Lally Caleb,NZL,0,2,0,0,0,0,0
Lally Sean,USA,8,4,0,6,1,1,2
Lally Todd,USA,0,1,0,0,0,0,1
Lalonde Andy,USA,0,2,0,0,2,0,0
Lalonde Andy,USA,0,1,0,0,1,0,0
Lalonde Jean-Marc,USA,0,1,0,0,1,0,0
LaLonde Levi,USA,0,2,0,0,2,0,0
