Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Faaiu Justus,USA,1,1,0,1,0,0,0
Faaloloto Edward,USA,2,4,0,0,2,0,2
Faamai Jessica,USA,1,0,0,0,0,0,0
Faas Jordan,USA,0,2,0,0,0,0,0
Faavale Mika,USA,0,2,0,0,1,0,1
Faber Urijah,USA,,,,,,,
Fabian Genah,NZL,4,2,0,3,1,0,0
Fabian Melinda,HUN,4,4,2,0,0,4,2
Fabiano Luiz,HUN,0,1,0,0,0,0,1
Fabiano Wagnney,BRA,,,,2,0,8,2
Fabiano de Melo Jose Lucas,BRA,1,2,0,1,2,0,0
Fabiano Silva Antonio,BRA,0,1,0,0,1,0,0
Fabinski Bartosz,POL,,,,8,0,0,4
Fabio Carlos,BRA,0,1,0,0,0,0,1
Fabio Fabio,BRA,0,1,0,0,0,0,1
Fabrizi Robert,BRA,0,1,0,0,1,0,0
Facchini Anthony,BRA,1,2,0,0,0,1,1
Facchinieri Domenico,BRA,0,1,0,0,1,0,0
Facey Jamaine,ENG,0,3,0,0,1,0,1
Factor Lucas,ENG,0,2,0,0,1,0,1
Fadai Sabah,CAN,7,4,0,4,1,3,2
Fadami Farbod,CAN,0,2,0,0,2,0,0
Fadda Antonio,CAN,0,1,0,0,0,0,0
Fadella Johnny,CAN,0,1,0,0,1,0,0
Fader Steve,CAN,0,1,0,0,0,0,1
Fadiora Eugene,ENG,,,,6,0,6,1
Fadipe Henry,ENG,2,3,0,1,1,1,2
Fagerlind Madelein,ENG,,,,,,,
Fagiano Joe,USA,0,1,0,0,0,0,1
Faglier Jr. Jason,USA,0,2,0,0,0,0,1
Fagundes Gilliard Alfredo,USA,0,2,0,0,1,0,1
Fagundes Joao Paulo,BRA,7,0,0,3,0,0,0
Fagyas Eric,USA,0,1,0,0,0,0,1
Fahim bin Mohd Noh Muhammad,USA,0,1,0,0,0,0,1
Fahimi Ayub,IRI,0,1,0,0,1,0,0
Fahretdinov Rinat,IRI,0,1,0,0,0,0,0
Faiddine Samir,FRA,,,,3,0,3,1
Failla Mark,FRA,1,0,0,0,0,1,0
Fair Daniel,FRA,0,1,0,0,0,0,1
Fairbanks Lisa Jo,FRA,0,1,0,0,0,0,1
Faircloth Ron,FRA,1,3,0,1,1,0,1
Fairless Wayne,ENG,0,2,0,0,2,0,0
Fairley Craig,USA,0,3,0,0,2,0,1
Fairn Jason,USA,0,1,0,0,1,0,0
Fairn Zarah,FRA,6,4,0,4,1,0,1
Fairtex Yodkaikaew,FRA,1,1,0,0,0,0,0
Faitovich Arsen,UKR,4,2,0,2,1,2,1
Faivre Jonathan,UKR,0,1,0,0,1,0,0
Fajardo Jose,UKR,0,1,0,0,0,0,0
Fajardo Rodrigo,UKR,0,1,0,0,1,0,0
Fakhreddine Mohammad,UKR,1,2,0,0,1,0,1
Fakhretdinov Rinat,RUS,,,,,,7,0
Fakov Astemir,RUS,0,0,1,0,0,0,0
Falcao Laura,RUS,0,1,0,0,1,0,0
Falcao Luiz,RUS,0,1,0,0,0,0,0
Falcao Maiquel,BRA,,,,,,7,3
Falcao Pedro,BRA,,,,6,1,4,0
Falciroli Gustavo,BRA,4,3,0,0,0,3,0
Falco Pietro,BRA,0,1,0,0,0,0,1
Falcon Renan,BRA,0,1,0,0,0,0,1
Faley Sergey,BRA,0,5,0,0,2,0,0
Fall Mamour,BRA,1,2,0,0,0,0,1
Fallon Sean Connor,USA,1,0,0,0,0,1,0
Falso Frank,USA,0,1,0,0,0,0,1
Fama Eric,USA,0,1,0,0,0,0,1
Fan Jyu Do,USA,0,1,0,0,0,0,1
Fan Rong,USA,,,,4,1,8,2
Fan Thomas,USA,,,,,,,
Fann Jason,USA,0,1,0,0,1,0,0
Fann Stryder,USA,0,1,0,0,1,0,0
Fannon Mike,USA,0,1,0,0,0,0,1
Fanny Gerardo,AHO,,,,6,0,3,2
Fanomez Franky,AHO,0,1,0,0,1,0,0
Fanshier James,AHO,0,3,0,0,0,0,0
Fantasia Roberto,AHO,0,1,0,0,1,0,0
Fantini Henrique,BRA,0,1,0,0,1,0,0
Faour Mahmod,BRA,0,1,0,0,0,0,0
Faraco Murilo,BRA,0,2,0,0,0,0,2
Farag Youssef Haiat,BRA,0,1,0,0,0,0,1
Faraldo Roman,USA,6,0,0,6,0,0,0
Farber Brodie,USA,0,3,0,0,1,0,1
Fardsanei Saeedeh,TUR,0,1,0,0,1,0,0
Farele Akuan,RUS,0,1,0,0,0,0,1
Fares Ahmed,RUS,1,0,0,0,0,1,0
Faress Ahmed,EGY,0,1,0,0,1,0,0
Farfone Dave,USA,0,0,0,0,0,0,0
Farhat Ryan,USA,0,2,0,0,0,0,1
Farhat Scott,USA,1,3,0,1,2,0,0
Faria Cintia Candela,USA,0,1,0,0,0,0,1
Faria Joao Paulo,USA,0,0,0,0,0,0,0
Faria Kalindra,BRA,,,,7,1,5,4
Faria Nuno,BRA,0,1,0,0,0,0,1
Faria de Souza Guilherme,BRA,,,,8,1,2,5
Farias Ary,BRA,2,1,0,1,0,0,0
Farias Edilson,BRA,0,1,0,0,0,0,1
Farias Fleizer,BRA,0,1,0,0,1,0,0
Farias Jackson,BRA,0,1,0,0,0,0,1
Farias Jose Milton,BRA,0,1,0,0,0,0,1
Farias Michelle,BRA,0,1,0,0,0,0,1
Farias Patricia de,BRA,0,1,0,0,1,0,0
Farias Paula,BRA,0,1,0,0,0,0,1
Farias Rafael,BRA,0,1,0,0,0,0,1
Farias Rogerio,BRA,0,3,0,0,2,0,1
Farias Wagner,BRA,0,1,0,0,1,0,0
Farias Walter,BRA,0,1,0,0,0,0,1
Farias da Costa Guilherme,BRA,0,1,0,0,0,0,1
Farias Moura Emerson,BRA,0,1,0,0,0,0,1
Farid Kym,BRA,0,1,0,0,0,0,1
Farinazzo Francinei,BRA,1,1,0,0,0,0,1
Farm Keoni,BRA,0,1,0,0,0,0,1
Farmer Justin,BRA,0,1,0,0,0,0,0
Farnetti Sal,USA,0,2,0,0,1,0,1
Farnezi Diego,BRA,0,1,0,0,1,0,0
Farquharson Ian,BRA,0,1,0,0,0,0,1
Farran Brandon,BRA,3,4,0,3,0,0,3
Farrar Chance,BRA,0,2,0,0,1,0,1
Farrell Sean,BRA,1,0,0,0,0,0,0
Farrington Rico,USA,7,3,0,3,1,0,0
Farris Melvin,USA,0,1,0,0,0,0,1
Farris Tim,USA,0,1,0,0,1,0,0
Farris Webster,USA,0,1,0,0,1,0,0
Farrow Katherine,USA,0,2,0,0,2,0,0
Farsiani Farshad,USA,0,2,0,0,1,0,0
Fartas Robert,ROM,0,1,0,0,0,0,1
Fasan Stefano,ROM,0,1,0,0,0,0,1
Faszholz Kelly,USA,4,2,0,0,1,3,0
Fatakhov Kardash,USA,0,2,0,0,1,0,1
Fatehi Paulus,USA,0,1,0,0,0,0,0
Fatehi Shahab,USA,0,1,0,0,1,0,0
Fatia Ana Claudia,USA,0,1,0,0,0,0,1
Fattakhov Artur,USA,0,1,0,0,1,0,0
Fattoev Hurshid,USA,0,1,0,0,1,0,0
Fatullazade Zaka,AZE,,,,2,4,7,4
Faulder Chelsea,AZE,0,1,0,0,0,0,0
Faulding Jamie,AZE,0,1,0,0,0,0,0
Faulkner Jonathan,USA,1,0,0,1,0,0,0
Faulkner Tel,USA,0,2,0,0,0,0,2
Faultersack Luke,USA,0,3,0,0,1,0,0
Faumui Brandon,USA,1,3,0,0,0,0,0
Faunce Noah,USA,3,2,0,1,0,0,1
Faurillo Arlan,PHI,0,1,0,0,1,0,0
Fausing Jeppe,PHI,0,1,0,0,1,0,0
Faustino Jefferson,BRA,0,1,0,0,1,0,0
Faustov Sergey,RUS,0,1,0,0,0,0,1
Favale Ryan,USA,0,1,0,0,0,0,1
Faverus Rodney,USA,0,1,0,0,0,0,0
Favors Bobby,USA,0,4,0,0,4,0,0
Favre Luisina,ARG,0,2,0,0,0,0,2
Fawcett Carl,ARG,0,3,0,0,1,0,1
Faye Lahat,ARG,0,1,0,0,1,0,0
Faylor Brad,ARG,0,2,0,0,2,0,0
Fayzallanova Zamzagul,KAZ,6,1,0,1,0,3,0
Fayzi Abdul Sami,KAZ,0,2,0,0,0,0,1
Fearon Adam,KAZ,0,2,0,0,1,0,0
