Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Gaaev Alexander,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabardi Renato,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabauer Tom,RUS,,,0.0,0.0,0.0,0.0,0.0,0
Gabdullin Radmir,RUS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Gabel Matt,USA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Gabert James,USA,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Gabert Jazzy,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabin Moyses,GER,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0
Gable Steve,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabr Khaled,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabriel Daniel,GER,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Gabriel Erlon,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Gabriel Felipe,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gabriel Gustavo,BRA,,,0.0,5.0,0.0,6.0,1.0,0
Gabriel James,BRA,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0
Gabriel da Silva Leonardo,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Gabriel dos Santos Alan,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gaca Patryk,BRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Gachechiladze Avtandil,GEO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gadelha Claudia,BRA,,,0.0,2.0,0.0,7.0,0.0,0
Gadelha Marcos Rogerio,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Gadirov Fuad,AZE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Gadjiev Alavutdin,AZE,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0
Gadlin Shaitiera,AZE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Gadyrov Fuad,AZE,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
