Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
D'Alelio Sarah,USA,0.0,1.0,1.0,8.0,2.0,0
D'Alseco Rafael,USA,0.0,0.0,1.0,0.0,0.0,0
D'amato Sal,USA,0.0,0.0,0.0,0.0,0.0,0
D'Ambrosio Orlando,ITA,0.0,0.0,0.0,0.0,2.0,0
D'Angelo Anthony,ITA,0.0,0.0,1.0,1.0,0.0,0
D'Angelo Augustus,USA,0.0,0.0,1.0,0.0,0.0,0
D'Angelo Daniele,ITA,0.0,0.0,1.0,0.0,0.0,0
D'Angelo Kelly,USA,0.0,1.0,1.0,1.0,0.0,0
D'Angelo Mike,USA,0.0,0.0,2.0,0.0,0.0,0
D'Anna Simone,ITA,0.0,0.0,2.0,0.0,1.0,0
D'Arce Joe,USA,0.0,0.0,0.0,1.0,0.0,0
D'Auguste Laura,USA,0.0,0.0,0.0,0.0,0.0,0
D'auria Leonardo,USA,0.0,0.0,2.0,0.0,1.0,0
D'Avila Diego,BRA,0.0,0.0,2.0,1.0,0.0,0
D'eligio Raffaele,BRA,0.0,0.0,0.0,0.0,1.0,0
D'Hue Gary,BRA,0.0,0.0,0.0,0.0,0.0,0
D'Onofrio Evasio,BRA,0.0,0.0,3.0,0.0,0.0,0
da Conceicao Adenes,BRA,0.0,0.0,0.0,0.0,0.0,0
da Conceicao Fabiano,BRA,0.0,8.0,1.0,0.0,0.0,0
da Conceicao Jamil Silveira,BRA,0.0,0.0,1.0,1.0,2.0,0
da Conceicao John Teixeira,BRA,1.0,0.0,0.0,0.0,0.0,0
da Conceicao Lizianne Silveira,BRA,0.0,0.0,0.0,0.0,1.0,0
da Conceicao Rogerio Matias,BRA,0.0,0.0,0.0,1.0,1.0,0
da Conceicao Justino Cristiano,BRA,0.0,0.0,1.0,0.0,0.0,0
da Costa Egidio,BRA,0.0,0.0,1.0,0.0,0.0,0
da Costa Jadison,BRA,0.0,0.0,0.0,0.0,0.0,0
da Costa Levi,BRA,0.0,0.0,2.0,0.0,0.0,0
da Costa Raniel,BRA,0.0,0.0,1.0,0.0,0.0,0
da Costa Stephane,BRA,0.0,0.0,0.0,0.0,1.0,0
da Costa Dantas Allan Miguel,BRA,0.0,0.0,2.0,0.0,0.0,0
da Costa Jr. Mario,BRA,0.0,0.0,0.0,0.0,0.0,0
da Costa Rodrigues Antonio Roberto,BRA,0.0,0.0,0.0,0.0,0.0,0
da Fonseca Melo Jr.,BRA,0.0,0.0,0.0,0.0,0.0,0
Da Hora Santana Edezio,BRA,0.0,0.0,0.0,0.0,1.0,0
da Matta Marcos,USA,0.0,0.0,0.0,0.0,1.0,0
Da Morte Joao,USA,0.0,0.0,1.0,0.0,0.0,0
da Paixao Luis Eduardo,USA,1.0,0.0,1.0,0.0,0.0,0
da Paz Josema Jose,USA,0.0,0.0,0.0,0.0,1.0,0
da Rocha Alan Esperanca,USA,0.0,0.0,0.0,0.0,1.0,0
da Rocha Eduardo,BRA,0.0,0.0,1.0,0.0,0.0,0
da Rocha Marcelo,BRA,0.0,0.0,0.0,0.0,0.0,0
da Rocha Marinho Moreira,BRA,0.0,0.0,0.0,4.0,3.0,0
Da Rocha Duarte Henerson,BRA,0.0,0.0,1.0,0.0,0.0,0
Da Rosa Edson,BRA,0.0,0.0,1.0,0.0,0.0,0
Da Silva Alex,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Ana Paula,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Anderson,BRA,0.0,0.0,0.0,0.0,1.0,0
Da Silva Andre,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Antonio,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Arivaldo Batista,BRA,0.0,0.0,2.0,0.0,0.0,0
da Silva Armando Gomes,BRA,0.0,0.0,2.0,0.0,0.0,0
da Silva Arnaldo,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Aylla Caroline Lima,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Bruno,BRA,0.0,0.0,0.0,0.0,1.0,0
Da Silva Bruno,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Caio Felipe Bittencourt,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Celso Ricardo,BRA,0.0,0.0,2.0,0.0,0.0,0
da Silva Cemir Jose,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Claudionor Cardoso,BRA,0.0,0.0,0.0,0.0,2.0,0
Da Silva Cleber,BRA,0.0,0.0,1.0,0.0,0.0,0
Da Silva Daniel,BRA,0.0,5.0,2.0,6.0,0.0,0
da Silva Davi Lucas,BRA,0.0,0.0,1.0,0.0,1.0,0
da Silva Diego,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Edson,BRA,0.0,0.0,1.0,0.0,1.0,0
da Silva Eduardo Henrique,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Erick,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Fabiano,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Fabio,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Felipi Ricardo,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Francisco Cylderlan Lima,BRA,0.0,0.0,2.0,0.0,0.0,0
da Silva Genair,BRA,0.0,3.0,0.0,1.0,1.0,0
da Silva Geovane Salviano,BRA,0.0,1.0,0.0,0.0,0.0,0
da Silva Guy,GER,0.0,0.0,0.0,0.0,0.0,0
da Silva Henrique,BRA,0.0,0.0,0.0,1.0,1.0,0
da Silva Joao Carlos,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Jose Carlos,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Jose Luiz Domingues,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Julien,FRA,0.0,0.0,1.0,0.0,0.0,0
Da Silva Kate,NZL,0.0,0.0,1.0,1.0,1.0,0
da Silva Kenya Miranda,NZL,0.0,1.0,0.0,1.0,2.0,0
da Silva Lourival,NZL,0.0,0.0,0.0,0.0,1.0,0
da Silva Luciano,NZL,0.0,0.0,1.0,0.0,0.0,0
da Silva Luiz Carlos Gomes,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Luiz Gustavo Dutra,BRA,0.0,0.0,1.0,0.0,0.0,0
Da Silva Marco Antonio,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Marcos,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Marcos Wilson,BRA,0.0,0.0,0.0,0.0,1.0,0
Da Silva Matt,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Mauricio,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Osmar,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Pedro,BRA,0.0,0.0,2.0,0.0,1.0,0
da Silva Peter,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Rafael Macedo,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Reinaldo,BRA,0.0,0.0,0.0,1.0,1.0,0
da Silva Roberto Bruno,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Rodrigo,BRA,0.0,0.0,1.0,0.0,0.0,0
Da Silva Roma,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Romario Manoel,BRA,0.0,1.0,1.0,1.0,3.0,0
da Silva Sandro,BRA,0.0,0.0,1.0,0.0,1.0,0
da Silva Saulo Eduardo,BRA,0.0,0.0,2.0,0.0,2.0,0
da Silva Sergio,BRA,0.0,0.0,0.0,0.0,0.0,0
da Silva Sidnei,BRA,0.0,0.0,2.0,0.0,0.0,0
da Silva Silvio Jose,BRA,0.0,0.0,0.0,0.0,1.0,0
da Silva Valter Luiz,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Wanderson,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Washington Nunes,BRA,0.0,0.0,0.0,2.0,0.0,0
da Silva Bezerra Francisco Sandro,BRA,0.0,0.0,3.0,0.0,0.0,0
da Silva Carvalho Denes,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Carvalho Soslenis,BRA,0.0,0.0,0.0,0.0,2.0,0
da Silva Conceicao Gerson,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Couto Muller,BRA,0.0,0.0,0.0,0.0,2.0,0
da Silva Dantas Janio,BRA,0.0,0.0,1.0,0.0,0.0,0
da Silva Farias David William,BRA,0.0,0.0,1.0,0.0,0.0,0
