Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
L'Heureux Jarrod,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
La N Sang Aung,MYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
La Preziosa Simone,MYA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
la Rose Rafles,MYA,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0
Laayug Chris,MNP,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Laba Karol,MNP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Labar Phil,MNP,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Labasanov Achmed,MNP,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0
Labban Ahmed,MNP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
LaBerge Josh,USA,0.0,0.0,0.0,5.0,3.0,1.0,2.0,0
Labiano Jeremiah,USA,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0
Labrie Levis,USA,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
LaBrute Momo,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacelle Eric,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacerda Genilson,BRA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Lacerda Luan,BRA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Lacerda Otavio,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacerda Tamyray,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacey Aaron,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
LaChapelle Dave,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Lachinov Kemran,USA,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0
Lachkova Kseniya,RUS,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0
Lackner Hans,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacky Tom,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
LaCroix Howard,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Lacroix Melanie,USA,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0
Lacy BJ,USA,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0
Ladd Aspen,USA,9.0,2.0,0.0,6.0,1.0,1.0,0.0,0
Ladi Tamas,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ladonna Anthony,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
