Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Caballero Vellore,USA,0.0,0.0,1.0,0.0,1.0,0
Caballero Llanes Evelyn Jessenia,USA,0.0,0.0,1.0,0.0,0.0,0
Cabbab Taurus,USA,0.0,0.0,1.0,0.0,0.0,0
Cabeca Alessandro,USA,0.0,0.0,1.0,0.0,0.0,0
Cabecao Marcio,USA,0.0,0.0,1.0,0.0,0.0,0
Cabeleira Junior,USA,0.0,0.0,1.0,0.0,0.0,0
Cabello Irene,USA,0.0,0.0,0.0,0.0,0.0,0
Cabello Rivera Irene,USA,0.0,0.0,1.0,1.0,0.0,0
Cabellow Geneva,USA,0.0,0.0,1.0,0.0,0.0,0
Cabelo Douglas,BRA,0.0,0.0,0.0,0.0,1.0,0
Cabezas Joey,BRA,0.0,2.0,1.0,0.0,2.0,0
Cabinian Richie,BRA,0.0,0.0,0.0,0.0,0.0,0
Cabocao Willian,BRA,0.0,0.0,0.0,0.0,1.0,0
Cabral Diego,BRA,0.0,0.0,1.0,0.0,0.0,0
Cabral Fernando,BRA,0.0,0.0,0.0,0.0,1.0,0
Cabral Jose,BRA,0.0,0.0,0.0,0.0,0.0,0
Cabral Julio,BRA,0.0,0.0,0.0,0.0,0.0,0
Cabral Yan,BRA,0.0,0.0,1.0,0.0,0.0,0
Cabrera Sergio,BRA,1.0,0.0,0.0,0.0,0.0,0
Cabrera Vergara Osvaldo,BRA,0.0,0.0,0.0,0.0,0.0,0
Cacador Marcos,BRA,0.0,0.0,1.0,0.0,0.0,0
Cacay Adam,BRA,0.0,0.0,2.0,0.0,0.0,0
Cacdac Alvin,USA,0.0,8.0,2.0,7.0,9.0,0
Caceres Alex,USA,0.0,3.0,1.0,7.0,7.0,0
Caceres Jose,USA,0.0,1.0,1.0,0.0,0.0,0
Cachero Vince,USA,0.0,2.0,2.0,2.0,0.0,0
Cachoeira Priscila,BRA,0.0,6.0,0.0,0.0,2.0,0
Cacic Jadranko,BRA,0.0,0.0,0.0,0.0,0.0,0
Cacique Cacique,BRA,0.0,0.0,0.0,0.0,1.0,0
Cadeau Mitchell,BRA,0.0,0.0,0.0,0.0,0.0,0
Cadena Martins Guilherme,ESP,0.0,0.0,6.0,1.0,0.0,0
Cadeu Luis,ESP,0.0,0.0,1.0,0.0,0.0,0
Cadlick Mitchell,ESP,0.0,0.0,0.0,0.0,0.0,0
Cado Simon Luiz,ESP,1.0,0.0,2.0,0.0,1.0,0
Caers Lee,ESP,0.0,0.0,1.0,0.0,0.0,0
Caesar Dan,ESP,0.0,0.0,0.0,0.0,3.0,0
Caetano Aleandro,BRA,0.0,0.0,0.0,0.0,0.0,0
Caetano Cleiton,BRA,0.0,0.0,1.0,0.0,0.0,0
Cafaro Ryan,USA,0.0,0.0,0.0,0.0,0.0,0
Cafary Mendy,USA,0.0,0.0,0.0,0.0,0.0,0
Caffrey Adam,USA,0.0,0.0,0.0,0.0,0.0,0
Caglar Onur,USA,0.0,0.0,2.0,0.0,0.0,0
Cahill Shawn,USA,0.0,0.0,0.0,0.0,1.0,0
Cahoon Paul,USA,0.0,0.0,2.0,0.0,0.0,0
Cahyadi Yudi,INA,0.0,0.0,0.0,0.0,0.0,0
Cain Christopher,INA,0.0,0.0,2.0,0.0,0.0,0
Cain Matt,INA,0.0,0.0,1.0,0.0,0.0,0
