Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Vaa'sa Hale,AUS,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Vaatainen Lauri,AUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Vaca Manuel,AUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vacacela Guerrero Alvaro Andres,AUS,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Vaccaro Enrico,AUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vaccaro Ryan,AUS,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Vaculik Richie,AUS,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0
Vader Dave,AUS,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0
Vaesau Abraham,USA,6.0,3.0,0.0,6.0,1.0,0.0,2.0,0
Vafaei Alireza,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Vafiadis Nick,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vagabov Abdulbasir,RUS,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0
Vagabov Osmanli,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Vagabov Vagab,RUS,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0
Vagaev Abubakar,RUS,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0
Vagner Luis,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vahaev Alihan,RUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Vaicickas Tomas,RUS,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0
Vaile Matt,NZL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vainikainen Juha-Pekka,NZL,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0
Vainikolo James,NZL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
Vajsurov Shamil,NZL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Vake John,NZL,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0
Vakhaev Mukhomad,RUS,7.0,4.0,1.0,3.0,2.0,3.0,1.0,0
Vakhaev Umar,RUS,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Vakhitov Algiz,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Vakhitov Baysangur,RUS,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
Vaknin Eliran,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Val Maria Isabel,URU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Valadares Glauber,URU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Valadez Armando,URU,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Valadez Joe,URU,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
Valamaa Juho,URU,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0
Valancius Vaidas,LTU,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0
Valavicius Egidijus,LTU,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0
Valda Marcus,LTU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Valderaz Jeremy,LTU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Valdez Adrian,LTU,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Valdez Alex,LTU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Valdez Dino,LTU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Valdez Eric,USA,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0
Valdez Genaro,MEX,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0
Valdez Gerald,MEX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Valdez Jorge,MEX,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Valdez Mike,MEX,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Valdez Oscar,MEX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
