Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Na Liang,CHN,0.0,4.0,2.0,9.0,2.0,0
Na Mu Jin,CHN,0.0,0.0,1.0,0.0,0.0,0
Nabavizade Akbar,CHN,0.0,0.0,1.0,0.0,0.0,0
Nabe Yukari,CHN,1.0,0.0,0.0,0.0,0.0,0
Nabiev Gunduz,CHN,0.0,0.0,0.0,0.0,1.0,0
Nacer Kamel,CHN,0.0,0.0,0.0,0.0,1.0,0
Nachio Vance,CHN,0.0,0.0,1.0,0.0,0.0,0
Nadal Paulo Giovani,CHN,0.0,0.0,0.0,0.0,1.0,0
Nader Jeff,CHN,0.0,1.0,0.0,0.0,0.0,0
Nadj Jasmina,CHN,0.0,0.0,0.0,0.0,1.0,0
Nadja Nadja,CHN,0.0,0.0,1.0,0.0,0.0,0
Nadlony Mateusz,ENG,0.0,0.0,0.0,0.0,1.0,0
Nadobny Szymon,ENG,0.0,0.0,0.0,0.0,1.0,0
Nadzhafaliev Ruslan,ENG,0.0,0.0,0.0,0.0,1.0,0
Nadzhafzade Talekh,ENG,0.0,0.0,1.0,0.0,0.0,0
Naeon Samuel,BRA,0.0,0.0,0.0,0.0,1.0,0
Nagado Hiromu,BRA,0.0,0.0,0.0,0.0,1.0,0
Nagai Kenji,BRA,0.0,0.0,1.0,0.0,2.0,0
Nagakura Tatsunao,JPN,0.0,0.0,1.0,0.0,0.0,0
Nagamine Taeko,JPN,0.0,0.0,0.0,0.0,1.0,0
Nagamoto Yasuaki,JPN,0.0,0.0,1.0,0.0,0.0,0
Nagamura Ikkei,JPN,1.0,0.0,1.0,0.0,0.0,0
Nagano Mika,JPN,0.0,0.0,1.0,1.0,1.0,0
Nagaoka Hiroki,JPN,1.0,0.0,0.0,0.0,0.0,0
Nagashim Yuichiro,JPN,0.0,0.0,0.0,0.0,0.0,0
Nagashima Yuichiro,JPN,0.0,0.0,1.0,0.0,0.0,0
Nagasoe Jun,JPN,0.0,0.0,0.0,0.0,0.0,0
Nagata Katsuhiko,JPN,2.0,0.0,2.0,0.0,2.0,0
Nagata Yuji,JPN,0.0,0.0,2.0,0.0,0.0,0
Nagayasu Kayo,JPN,1.0,0.0,0.0,0.0,0.0,0
Naghizadeh Fereidoun,JPN,0.0,0.0,1.0,0.0,0.0,0
Nagibin Timur,RUS,0.0,6.0,1.0,2.0,1.0,0
Nagiev Muslim,RUS,0.0,0.0,0.0,0.0,1.0,0
Nagle Kenneth,RUS,0.0,0.0,1.0,0.0,0.0,0
Nagor Jose,BRA,0.0,0.0,1.0,0.0,0.0,0
Nagorski Blazej,BRA,0.0,0.0,1.0,0.0,0.0,0
Nagy Greg,BRA,0.0,0.0,1.0,0.0,0.0,0
Nagy Maros,BRA,0.0,0.0,1.0,0.0,0.0,0
Nagymzhanov Abylay,BRA,0.0,0.0,1.0,0.0,0.0,0
