Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Zachrich Luke,USA,0.0,4.0,1.0,7.0,3.0,0
Zaczkiewicz Sylwia,POL,0.0,0.0,1.0,0.0,0.0,0
Zadernovsky Igor,POL,0.0,0.0,0.0,0.0,2.0,0
Zadruzynski Filip,POL,0.0,0.0,0.0,0.0,1.0,0
Zafir Anton,AUS,0.0,3.0,3.0,3.0,0.0,0
Zaghdoudi Rida,AUS,0.0,0.0,1.0,0.0,0.0,0
Zagirov Arslan,AUS,0.0,0.0,1.0,0.0,0.0,0
Zagirov Dibir,AUS,0.0,0.0,1.0,0.0,1.0,0
Zaglewski Radoslaw,POL,0.0,0.0,1.0,0.0,0.0,0
Zagubinoga Ivan,UKR,0.0,0.0,0.0,0.0,1.0,0
Zahabi Aiemann,CAN,0.0,5.0,1.0,2.0,0.0,0
Zahalka Jared,USA,0.0,0.0,1.0,0.0,0.0,0
Zahariev Emil,USA,0.0,2.0,3.0,0.0,1.0,0
Zahariev Svetoslav,USA,0.0,0.0,0.0,0.0,2.0,0
Zaidi Asim,USA,0.0,0.0,1.0,0.0,0.0,0
Zaipulaev Gadji,USA,0.0,1.0,0.0,2.0,2.0,0
Zaitsev Alexander,USA,0.0,0.0,0.0,0.0,0.0,0
Zajac Adam,USA,0.0,1.0,1.0,0.0,0.0,0
Zak Josef,USA,0.0,0.0,1.0,0.0,0.0,0
Zak Ladislav,USA,0.0,0.0,1.0,0.0,1.0,0
Zak Tomas,USA,0.0,0.0,1.0,0.0,0.0,0
Zakaryan Smbat,USA,0.0,0.0,1.0,0.0,0.0,0
Zakharian Ishkhan,USA,0.0,0.0,2.0,0.0,4.0,0
Zakharov Oleg,RUS,0.0,0.0,0.0,0.0,1.0,0
Zakir Lalashov,RUS,0.0,0.0,0.0,0.0,1.0,0
Zakryan Vahe,RUS,0.0,0.0,0.0,0.0,1.0,0
Zakrzewski Slawomir,RUS,0.0,0.0,1.0,0.0,0.0,0
Zalal Youssef,MAR,0.0,2.0,0.0,5.0,0.0,0
Zalani Zeli,MAR,0.0,0.0,0.0,0.0,1.0,0
Zaleski dos Santos Elizeu,BRA,0.0,0.0,0.0,3.0,2.0,0
Zalewski Pawel,POL,0.0,0.0,1.0,0.0,0.0,0
Zalikhvatko Sergey,POL,0.0,0.0,1.0,0.0,0.0,0
Zamanov Orudzh,AZE,0.0,0.0,0.0,0.0,1.0,0
Zamarron George,AZE,0.0,0.0,0.0,0.0,1.0,0
Zamarron Ruben,AZE,0.0,0.0,1.0,0.0,0.0,0
Zamboanga Denice,AZE,0.0,2.0,0.0,3.0,0.0,0
Zambrano Erick,AZE,0.0,0.0,1.0,0.0,0.0,0
Zamora Anthony,AZE,0.0,0.0,1.0,0.0,0.0,0
Zamora Antonio,AZE,0.0,0.0,0.0,0.0,0.0,0
Zamora Claudia,USA,0.0,1.0,0.0,1.0,0.0,0
Zamora Joe Angel,USA,0.0,0.0,0.0,0.0,1.0,0
Zamora Michael,USA,0.0,0.0,0.0,0.0,1.0,0
Zamora Steven,USA,0.0,0.0,0.0,0.0,1.0,0
Zamora Walter,CRC,0.0,0.0,0.0,0.0,0.0,0
Zamorano Mike,CRC,0.0,0.0,0.0,0.0,1.0,0
Zampakikas Angelos,CRC,0.0,0.0,1.0,0.0,0.0,0
Zampieri Luciano,CRC,0.0,0.0,1.0,0.0,0.0,0
Zancanaro Willy,CRC,0.0,0.0,0.0,0.0,0.0,0
Zane Zach,USA,0.0,4.0,1.0,0.0,0.0,0
