Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Waage Tim,SWE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Waalkes Stephen,SWE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Waardenburg Dimitri,CAN,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0
Wabie Jesse,CAN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wable Jesse,CAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wachi Masahito,CAN,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Wada Masaki,CAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wada Ryogaku,CAN,,,0.0,0.0,0.0,0.0,0.0,0
Wada Takuya,CAN,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0
Wada Tatsumitsu,JPN,,,0.0,5.0,1.0,5.0,3.0,0
Wade Andy,JPN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wade Chris,USA,,,0.0,1.0,0.0,5.0,0.0,0
Wade Donta,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wade James,USA,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0
Wade Justin,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wade Matthew,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wade Mike,USA,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0
Wade Timothy,USA,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0
Wadkins John,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wadsworth Andy,USA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Wadsworth Jody,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wadsworth Tim,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waflard Jean Pierre,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wagemans Patrice,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wagle Josh,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wagner Abe,USA,,,0.0,6.0,3.0,3.0,4.0,0
Wagner Joe,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wagner Markus,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wagner Nathan,GER,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Wagner Nick,GER,0.0,6.0,1.0,0.0,3.0,0.0,2.0,0
Wagner Ryan,GER,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wagner Sean,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wagner Shaun,GER,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Wagner Thomas,GER,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Wagner Tim,GER,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Wagner Tommy,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wagy Matt,USA,,,0.0,7.0,2.0,1.0,3.0,0
Wahlin Eric,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wahman Amr,EGY,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wain Neil,ENG,,,0.0,8.0,1.0,1.0,1.0,0
Wainohu Jordan,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waite Curtis,ENG,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Waite John,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waits Shane,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wakabayashi Jiro,ENG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Wakabayashi Takuma,ENG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wakamatsu Yuya,JPN,,,0.0,0.0,0.0,0.0,2.0,0
Wakeland Alex,JPN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Wakeland Brady,JPN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Walaszek Szymon,JPN,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Walberer Andre,GER,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walbridge Gabe,GER,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0
Walbright Mike,GER,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walczyk Sandino,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waldburger T.J.,POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Waldburger TJ,USA,,,0.0,1.0,7.0,0.0,0.0,0
Walden Dustin,USA,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Walden Jarrett,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waldon Chase,USA,,,0.0,3.0,2.0,5.0,1.0,0
Wali Mojtaba Najim,USA,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Waliczek Marta,POL,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Waliduda Przemyslaw,POL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Walizer Biff,POL,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0
Walker Adrian,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walker Alfred,USA,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Walker Andre,USA,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0
Walker Andy,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Walker Cleburn,USA,0.0,5.0,0.0,0.0,3.0,0.0,2.0,0
Walker Cody,USA,7.0,7.0,0.0,4.0,2.0,3.0,2.0,0
Walker Desmond,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walker Donny,USA,1.0,6.0,0.0,1.0,2.0,0.0,3.0,0
Walker Dyrell,USA,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0
Walker Herschel,USA,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
Walker John,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walker Johnny,BRA,,,0.0,0.0,0.0,2.0,1.0,0
Walker Jonathan,BRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Walker Kyle,USA,2.0,5.0,0.0,1.0,2.0,0.0,3.0,0
Walker Latoya,USA,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0
Walker Lenn,USA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Walker Mark,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walker Martin,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walker Mathew,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walker Matt,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walker Nick,USA,0.0,6.0,0.0,0.0,2.0,0.0,4.0,0
Walker Ryan,USA,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Walker Shelby,USA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Walker Tyler,USA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Walker Warren,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walker William,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Walker III Robert,USA,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0
Walker-Leahy Heather,USA,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Walker-Sanchez Brogan,USA,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0
Wall Ben,AUS,8.0,3.0,1.0,0.0,2.0,2.0,0.0,0
Wall Kobe,AUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wallace Crafton,AUS,2.0,3.0,1.0,2.0,1.0,0.0,2.0,0
Wallace Donald,AUS,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wallace Jeremy,AUS,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Wallace Jesse,USA,9.0,3.0,0.0,2.0,0.0,7.0,1.0,0
Wallace John,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wallace JR,USA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wallace Julian,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wallace Randall,USA,,,0.0,7.0,1.0,6.0,3.0,0
Wallace Ricky,USA,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Wallace Rodney,USA,,,0.0,6.0,5.0,3.0,1.0,0
Wallace Shawn,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wallbridge Gabe,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Wallen August,SWE,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Waller Ryot,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wallette David,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wallhead Jim,ENG,,,0.0,0.0,0.0,0.0,0.0,0
Wallid Wallid,ENG,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0
Walls Earnest,ENG,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0
Walls Michael,ENG,,,0.0,0.0,0.0,0.0,0.0,0
Walls Ryan Patrick,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walls Teshawn,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walls Travis,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walmsley Cory,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walo Emmanuel,USA,,,0.0,2.0,1.0,1.0,0.0,0
Walraven Jason,USA,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0
Walser Jon,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walser Steve,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Walsh Billy,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Walsh John,USA,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0
Walsh Patrick,USA,9.0,3.0,0.0,3.0,0.0,2.0,1.0,0
Walsh Richard,AUS,9.0,5.0,0.0,4.0,1.0,1.0,1.0,0
Walsh Shay,ENG,,,0.0,6.0,3.0,3.0,0.0,0
Walter Chad,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walters Billy,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walters Clark,ENG,,,0.0,0.0,0.0,0.0,0.0,0
Walters Pierre,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walthers Jesse,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Waltmans Shaun,NED,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Walton Aaron,NED,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Walton Chazz,USA,5.0,1.0,0.0,3.0,1.0,2.0,0.0,0
Walton Mike,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walton Stephen,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Walus Kamil,POL,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Walwyn Thai,POL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Walz Joey,POL,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wampler Steven,POL,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wan Jianping,POL,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wanamekawa Masuhito,POL,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wanawan Jerome,POL,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Wandalen Juliano,POL,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Wanderlei Erick,POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wanderley Daniel,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wanderley Dimitiri,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wanderley Dimitri,POL,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Wanderley Erick,POL,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wang Andy,POL,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wang Anying,CHN,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0
Wang Daoyuan,CHN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wang Dapeng,CHN,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Wang Deyu,CHN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wang Jin Gang,CHN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Jingjia,CHN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Mellissa,USA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Wang Mingwu,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wang Qi,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Sai,CHN,7.0,5.0,1.0,4.0,1.0,2.0,1.0,0
Wang Shuo,CHN,,,0.0,6.0,0.0,1.0,2.0,0
Wang Tanzhao,CHN,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Wang Wanshuang,CHN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Xiaomin,CHN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Wang Xiaoying,CHN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Yayong,CHN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wang Yichuan,CHN,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Wang Yusheng,CHN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Wang Zhen,CHN,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Wanliss Akonne,ENG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Wannemacher Jesse,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Warburton Curt,ENG,,,0.0,4.0,1.0,4.0,3.0,0
Warby Steven,ENG,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Warchol Dawid,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ward Adam,USA,2.0,6.0,0.0,0.0,3.0,0.0,2.0,0
Ward Billy,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Ward Brennan,USA,,,0.0,9.0,2.0,4.0,4.0,0
Ward Cam,USA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Ward Charlie,IRL,9.0,4.0,0.0,6.0,3.0,0.0,0.0,0
Ward Corrie,IRL,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Ward Dany,IRL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ward Jason,IRL,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0
Ward Jessi,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ward Josh,IRL,,,0.0,0.0,0.0,0.0,0.0,0
Ward Kendall,IRL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ward Lisa,IRL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Ward Matt,IRL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ward Mike,IRL,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0
Ward Neil,IRL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ward Patrick,CAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
