Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Aaron Tom,USA,0.0,0.0,1.0,1.0,0.0,0
Aaron Tommy,ESP,0.0,3.0,3.0,2.0,0.0,0
Aarons Joshua,ESP,0.0,0.0,0.0,0.0,2.0,0
Aarts Mike,ESP,0.0,0.0,0.0,0.0,1.0,0
Abada Zyad,ESP,0.0,0.0,0.0,0.0,2.0,0
Abadzhyan Kadzhik,ESP,0.0,0.0,1.0,0.0,1.0,0
Abaev Imran,RUS,1.0,0.0,0.0,0.0,1.0,0
Abafo Randen,RUS,0.0,1.0,0.0,0.0,0.0,0
Abajian Jason,RUS,0.0,0.0,1.0,0.0,0.0,0
Abanokov Soslan,USA,0.0,1.0,1.0,0.0,3.0,0
Abargel Ariel,USA,0.0,0.0,0.0,1.0,1.0,0
Abarquez Marcus,USA,0.0,0.0,1.0,0.0,0.0,0
Abasolo Eddie,USA,0.0,0.0,0.0,0.0,0.0,0
Abasov Bagautdin,RUS,0.0,0.0,0.0,1.0,1.0,0
Abasov Emil,RUS,0.0,0.0,0.0,0.0,0.0,0
Abasov Islam,RUS,0.0,0.0,0.0,0.0,0.0,0
Abasov Shamil,RUS,0.0,0.0,1.0,0.0,0.0,0
Abbadi Danny,RUS,0.0,0.0,0.0,0.0,1.0,0
Abbas Adil,RUS,0.0,0.0,0.0,0.0,1.0,0
Abbasov Bakhtiyar,AZE,0.0,5.0,3.0,5.0,1.0,0
Abbasov Elvin,AZE,0.0,0.0,0.0,0.0,1.0,0
Abbasov Kiamrian,KGZ,0.0,0.0,0.0,4.0,3.0,0
Abbasov Nariman,KGZ,0.0,0.0,0.0,0.0,0.0,0
Abbasov Nerman,AZE,0.0,0.0,0.0,0.0,0.0,0
Abbey Darion,AZE,0.0,0.0,0.0,0.0,1.0,0
Abbott Ben,AZE,0.0,0.0,0.0,0.0,1.0,0
Abbott David,USA,0.0,7.0,7.0,2.0,6.0,0
Abbott Raleigh,USA,0.0,0.0,1.0,0.0,0.0,0
Abdallah Adham,USA,0.0,0.0,1.0,0.0,0.0,0
Abdallah Jamie,AUS,0.0,2.0,3.0,0.0,1.0,0
Abdallah Mohammed,AUS,0.0,1.0,0.0,0.0,0.0,0
Abdallaoui Hichame,AUS,0.0,0.0,0.0,0.0,0.0,0
Abdel Azim Mohamed,AUS,0.0,0.0,1.0,0.0,0.0,0
Abdel Kawy Atef,AUS,0.0,0.0,2.0,0.0,0.0,0
Abdelli Anis,AUS,0.0,0.0,0.0,0.0,1.0,0
Abderhaman Bouaziz,AUS,0.0,0.0,0.0,0.0,0.0,0
Abdeselam Mohamed Soli,ESP,0.0,0.0,0.0,0.0,2.0,0
Abdiev Imran,ESP,0.0,0.0,0.0,0.0,1.0,0
Abdo Mohamed,ESP,0.0,0.0,1.0,0.0,0.0,0
Abdollah Yusef,ESP,0.0,0.0,0.0,0.0,1.0,0
Abdollahi Mostafa,IRI,0.0,0.0,0.0,0.0,1.0,0
Abdolmaleki Akram,IRI,0.0,0.0,0.0,0.0,1.0,0
Abdon Carol,IRI,0.0,0.0,1.0,0.0,0.0,0
Abdon Jordano,IRI,0.0,0.0,0.0,0.0,1.0,0
Abdouraguimov Abdoul,FRA,0.0,0.0,1.0,1.0,0.0,0
Abdrakhmanov Melisbek,FRA,0.0,0.0,1.0,0.0,1.0,0
Abduhl-Shakur Jabari,FRA,0.0,0.0,0.0,0.0,1.0,0
Abdul Baset Eslam,FRA,0.0,0.0,0.0,0.0,0.0,0
Abdul Hakim Tajuddin,FRA,0.0,4.0,1.0,0.0,0.0,0
Abdula Muhammad,FRA,0.0,0.0,0.0,0.0,1.0,0
Abdulaev Khasanbek,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdulaev Khirzri,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdulaev Magomed,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdulaev Murad,RUS,0.0,6.0,2.0,2.0,1.0,0
Abdulaev Rasul,RUS,0.0,1.0,1.0,0.0,0.0,0
Abdulakhmetov Gasan,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdulgalimov Akim,UKR,0.0,0.0,1.0,0.0,0.0,0
Abdulkadirov Ahmed,UKR,0.0,0.0,0.0,0.0,1.0,0
Abdulkerimov Arsen,UKR,0.0,0.0,1.0,1.0,0.0,0
Abdulkerimov Shamil,UKR,0.0,1.0,0.0,0.0,0.0,0
Abdulkerimov Zirodin,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdulkhalikov Ali,RUS,0.0,3.0,0.0,0.0,0.0,0
Abdulkhalikov Shamil,RUS,0.0,0.0,0.0,0.0,3.0,0
Abdullaev Amir,RUS,0.0,0.0,0.0,0.0,0.0,0
Abdullaev Gadzhimurad,RUS,0.0,3.0,0.0,2.0,0.0,0
Abdullaev Ilyas,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdullaev Khikmet,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdullaev Murad,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdullaev Tahir,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdullaev Turganaly,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdullah Ahsan,RUS,0.0,0.0,0.0,0.0,2.0,0
Abdullah Hedi Ben,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdullah Mohammed,RUS,0.0,1.0,0.0,0.0,0.0,0
Abdullah Muhammad,USA,0.0,0.0,0.0,0.0,3.0,0
Abdullah Rashid,USA,0.0,1.0,3.0,1.0,2.0,0
Abdulmusilmov Shamil,RUS,0.0,0.0,2.0,0.0,0.0,0
Abdulov Vladimir,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdulvakhabov Abdul-Aziz,RUS,0.0,7.0,0.0,4.0,0.0,0
Abdulzhalilov Ramazan,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdurachmanov Valid,AUT,0.0,0.0,0.0,1.0,0.0,0
Abdurahimov Magomed,AUT,0.0,0.0,0.0,0.0,0.0,0
Abdurahmanov Salamu,RUS,0.0,1.0,0.0,1.0,0.0,0
Abdurakhimov Shamil,RUS,0.0,9.0,4.0,4.0,1.0,0
Abdurakhmanov Murad,RUS,0.0,1.0,0.0,0.0,0.0,0
Abdurakhmanov Muzaffar,RUS,0.0,0.0,0.0,1.0,0.0,0
Abdurapov Rustam,RUS,0.0,0.0,1.0,0.0,1.0,0
Abdurashidov Arsen,RUS,0.0,0.0,0.0,0.0,1.0,0
Abdurashidov Rashidhan,RUS,0.0,0.0,0.0,1.0,0.0,0
Abdusalamov Kurbanali,RUS,0.0,0.0,1.0,0.0,0.0,0
Abduvakhid Aygul,RUS,0.0,0.0,1.0,0.0,0.0,0
Abdylda Bekbolot,RUS,0.0,0.0,0.0,0.0,0.0,0
Abe Daichi,JPN,0.0,4.0,1.0,0.0,1.0,0
Abe Hiroyuki,JPN,1.0,0.0,2.0,0.0,1.0,0
Abe Masatoshi,JPN,0.0,0.0,0.0,0.0,1.0,0
Abe Yoshitaka,JPN,1.0,0.0,1.0,1.0,0.0,0
Abed Mohammad,JPN,0.0,0.0,1.0,0.0,0.0,0
Abedi Papy,SWE,0.0,6.0,2.0,2.0,2.0,0
Abelardo Mark,NZL,0.0,1.0,0.0,0.0,0.0,0
Abeles Alan,NZL,0.0,0.0,0.0,0.0,0.0,0
Abelian Yedike,ARM,0.0,0.0,1.0,0.0,0.0,0
Aber Nathan,ARM,0.0,0.0,0.0,0.0,0.0,0
Abercrombie Joseph,ARM,0.0,0.0,0.0,1.0,0.0,0
Abernathy Jason,ARM,0.0,0.0,0.0,0.0,0.0,0
Abicassiz Helio,ARM,0.0,0.0,1.0,0.0,0.0,0
Abidimitalipuulu Dastan,ARM,0.0,0.0,0.0,0.0,0.0,0
Abiev Isa,ARM,0.0,0.0,0.0,0.0,1.0,0
Abiltarov Ruslan,ARM,0.0,0.0,0.0,0.0,3.0,0
Abin Alexandre,ARM,0.0,0.0,1.0,0.0,0.0,0
Ablasi Jazor,PHI,0.0,0.0,0.0,1.0,0.0,0
Aboeli Marvin,PHI,0.0,0.0,1.0,0.0,0.0,0
Abouata Joe,USA,0.0,0.0,1.0,0.0,1.0,0
Abraham Josh,USA,0.0,0.0,0.0,1.0,0.0,0
Abraham Tuirangi,USA,0.0,0.0,1.0,0.0,0.0,0
Abram Derek,USA,0.0,1.0,4.0,0.0,1.0,0
Abramiuk Mariusz,USA,0.0,0.0,0.0,1.0,1.0,0
Abramo Dean,AUS,0.0,0.0,1.0,0.0,0.0,0
Abrams Neal,AUS,0.0,0.0,1.0,0.0,0.0,0
Abrasley Ed,AUS,0.0,0.0,2.0,0.0,0.0,0
Abrego Brandon,AUS,0.0,0.0,1.0,0.0,0.0,0
Abrekov Ruslan,AUS,0.0,0.0,0.0,0.0,2.0,0
Abreu Araripe,BRA,0.0,0.0,0.0,0.0,1.0,0
Abreu Carlos,BRA,0.0,1.0,2.0,4.0,0.0,0
Abreu Fabio,BRA,0.0,0.0,1.0,0.0,0.0,0
Abreu Klidson,BRA,0.0,4.0,3.0,0.0,0.0,0
Abreu Lucio,BRA,0.0,0.0,0.0,0.0,1.0,0
Abreu Ricardo,BRA,0.0,3.0,0.0,2.0,0.0,0
Abreu Roberto,BRA,0.0,0.0,0.0,0.0,1.0,0
Abreu-Laybon Micah,BRA,0.0,0.0,1.0,0.0,0.0,0
Abriamiani Garik,GEO,0.0,0.0,1.0,0.0,0.0,0
Abrillo Mark Joseph,PHI,0.0,0.0,0.0,0.0,2.0,0
Abrol Daniel,PHI,0.0,0.0,1.0,0.0,0.0,0
Absher Kevin,PHI,0.0,0.0,1.0,0.0,0.0,0
Abu Adriano,PHI,0.0,0.0,0.0,0.0,0.0,0
Abu Dey-Ali Mumia,PHI,0.0,0.0,1.0,0.0,0.0,0
Abu Naim Mohammed,PHI,0.0,0.0,1.0,0.0,0.0,0
Abuev Rizvan,RUS,0.0,0.0,1.0,0.0,0.0,0
Abundis Roldan,RUS,0.0,0.0,0.0,0.0,0.0,0
Aby Aaron,WAL,0.0,1.0,1.0,4.0,0.0,0
Abytov Emil,WAL,0.0,0.0,1.0,0.0,0.0,0
Abzailov Kerim,WAL,0.0,0.0,2.0,0.0,0.0,0
Abzakh Nawras,JOR,0.0,0.0,0.0,0.0,0.0,0
Acacio Daniel,BRA,0.0,2.0,2.0,0.0,3.0,0
