Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Jabouin Yves,CAN,0.0,0.0,0.0,1.0,4.0,0
Jabri Wallid,CAN,0.0,0.0,0.0,0.0,1.0,0
Jaca Nelson,CAN,0.0,0.0,0.0,1.0,0.0,0
Jacare Alexandre,CAN,0.0,0.0,0.0,0.0,2.0,0
Jacare Claudio,CAN,0.0,0.0,0.0,0.0,1.0,0
Jacare Leo,CAN,0.0,0.0,1.0,0.0,0.0,0
Jacare Leonardo,CAN,0.0,0.0,0.0,0.0,0.0,0
Jacintho Arthur,CAN,0.0,0.0,0.0,0.0,1.0,0
Jack Avi,CAN,0.0,1.0,1.0,0.0,2.0,0
Jack James,CAN,0.0,0.0,1.0,0.0,0.0,0
Jack Jay,CAN,0.0,0.0,0.0,0.0,0.0,0
Jackson Adail,BRA,0.0,0.0,0.0,0.0,0.0,0
Jackson Casey,BRA,0.0,0.0,0.0,0.0,1.0,0
Jackson Corey,BRA,0.0,0.0,0.0,0.0,0.0,0
Jackson Craig,BRA,0.0,1.0,1.0,0.0,0.0,0
Jackson Damon,USA,0.0,3.0,3.0,0.0,0.0,0
Jackson Dejuan,USA,0.0,0.0,1.0,0.0,1.0,0
Jackson Demarques,USA,0.0,2.0,3.0,5.0,0.0,0
Jackson Devoniere,USA,0.0,0.0,1.0,0.0,1.0,0
Jackson Eddie,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Edward,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Eugene,USA,0.0,3.0,3.0,2.0,3.0,0
Jackson Gregory,USA,0.0,0.0,0.0,0.0,0.0,0
Jackson Imani,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Jason,USA,0.0,4.0,2.0,3.0,0.0,0
Jackson Jay,USA,0.0,0.0,0.0,0.0,4.0,0
Jackson Jeremy,USA,0.0,2.0,2.0,0.0,3.0,0
Jackson Johnathon,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Josh,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Kate,ENG,0.0,6.0,2.0,1.0,1.0,0
Jackson Ken,USA,1.0,0.0,6.0,1.0,0.0,0
Jackson Kenyon,USA,0.0,0.0,2.0,0.0,1.0,0
Jackson Kevin,USA,0.0,1.0,0.0,1.0,2.0,0
Jackson Keyon,USA,0.0,0.0,2.0,0.0,0.0,0
Jackson Kyle,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Lacie,USA,0.0,0.0,2.0,0.0,0.0,0
Jackson Ladarious,USA,0.0,0.0,1.0,0.0,1.0,0
Jackson Marques,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Maurice,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Michael,USA,0.0,0.0,1.0,0.0,1.0,0
Jackson Mike,USA,0.0,0.0,3.0,2.0,1.0,0
Jackson Mitch,USA,0.0,0.0,1.0,0.0,2.0,0
Jackson Montel,USA,0.0,6.0,0.0,1.0,0.0,0
Jackson Nicholas,USA,0.0,0.0,0.0,1.0,1.0,0
Jackson Niko,USA,0.0,0.0,0.0,0.0,0.0,0
Jackson P.J.,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Quinton,USA,0.0,0.0,0.0,5.0,2.0,0
Jackson Ramon,USA,0.0,0.0,0.0,0.0,0.0,0
Jackson Rashaun,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Ricky,USA,0.0,0.0,0.0,0.0,0.0,0
Jackson Rob,USA,0.0,0.0,4.0,0.0,0.0,0
Jackson Ron,USA,0.0,0.0,1.0,0.0,0.0,0
Jackson Roscoe,USA,0.0,0.0,2.0,0.0,0.0,0
Jackson Sam,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Thomas,USA,0.0,0.0,0.0,0.0,1.0,0
Jackson Tyler,USA,1.0,0.0,0.0,0.0,2.0,0
Jackson III William,USA,0.0,0.0,0.0,0.0,0.0,0
