Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Eagans Josh,USA,0.0,0.0,0.0,0.0,2.0,0
Eakin Stephen,USA,0.0,0.0,0.0,0.0,0.0,0
Eakins Steve,USA,0.0,0.0,1.0,0.0,0.0,0
Ealey Gareth,USA,0.0,0.0,1.0,0.0,0.0,0
Earle Hubert,USA,0.0,0.0,0.0,0.0,0.0,0
Early Craig,USA,0.0,0.0,0.0,0.0,2.0,0
Early Pat,USA,0.0,0.0,1.0,0.0,0.0,0
Earnshaw Matt,USA,0.0,0.0,1.0,0.0,0.0,0
Earnshaw Tom,USA,0.0,0.0,1.0,0.0,0.0,0
Earwood Ben,USA,0.0,0.0,0.0,1.0,0.0,0
Earwood Vernon,USA,0.0,0.0,0.0,0.0,1.0,0
Eason Derek,USA,0.0,0.0,0.0,0.0,1.0,0
East Cody,USA,0.0,8.0,4.0,3.0,0.0,0
East Tom,USA,0.0,0.0,0.0,0.0,0.0,0
East Tyler,USA,0.0,0.0,0.0,3.0,0.0,0
Easter Chris,USA,0.0,0.0,1.0,0.0,0.0,0
Easterling Derrick,USA,0.0,0.0,1.0,1.0,0.0,0
Easterling Donny,USA,0.0,0.0,0.0,0.0,1.0,0
Eastman Alex,USA,0.0,0.0,1.0,0.0,0.0,0
Eastman Marvin,USA,0.0,3.0,7.0,0.0,1.0,0
Eastman Russell,USA,0.0,0.0,0.0,0.0,1.0,0
Easton Mike,USA,0.0,4.0,1.0,2.0,0.0,0
Eatman Marino,USA,1.0,0.0,2.0,0.0,1.0,0
Eaton Corrin,ENG,0.0,4.0,1.0,4.0,1.0,0
Eazel Maurice,ENG,0.0,1.0,3.0,0.0,4.0,0
Eazelle Vincent,USA,0.0,0.0,1.0,1.0,0.0,0
Ebanez Ross,USA,0.0,1.0,4.0,0.0,3.0,0
Ebanks Jenaid,USA,0.0,0.0,0.0,0.0,0.0,0
Ebarb Randall,USA,0.0,0.0,0.0,1.0,0.0,0
Eberly Isaac,USA,0.0,0.0,0.0,0.0,0.0,0
Ebersole Brian,USA,0.0,0.0,0.0,0.0,0.0,0
Ebert David,USA,0.0,0.0,0.0,0.0,0.0,0
Ebihara Madoka,USA,0.0,0.0,0.0,0.0,0.0,0
Eblen Johnny,USA,0.0,5.0,0.0,1.0,0.0,0
Ebuev Gadzhiakay,USA,0.0,0.0,0.0,0.0,1.0,0
Echazu Sebastian,USA,0.0,0.0,0.0,0.0,1.0,0
Echeverria Galindo Welby Lee,USA,0.0,0.0,1.0,0.0,0.0,0
Echeverry Nico,USA,0.0,1.0,1.0,0.0,0.0,0
Echols Christian,USA,0.0,0.0,0.0,0.0,1.0,0
Echols Justin,USA,0.0,0.0,1.0,0.0,0.0,0
Echter Billy,NED,0.0,0.0,2.0,0.0,0.0,0
Echuaca Guillermo,NED,0.0,0.0,1.0,0.0,0.0,0
Eck Laszlo,NED,0.0,0.0,1.0,0.0,0.0,0
Eckelberg Craig,USA,0.0,0.0,1.0,0.0,3.0,0
Eckerle Matt,USA,0.0,0.0,2.0,0.0,0.0,0
Eckerlin Christian,GER,0.0,5.0,2.0,6.0,2.0,0
Eckman Josh,USA,0.0,0.0,0.0,1.0,0.0,0
Eckstein Brian,USA,0.0,0.0,0.0,0.0,0.0,0
Eco John,PHI,0.0,0.0,0.0,0.0,1.0,0
Economou Stav,PHI,1.0,1.0,0.0,0.0,2.0,0
Ed Doukani Moncef,MAR,0.0,0.0,0.0,0.0,1.0,0
Eddiva Mark,PHI,0.0,3.0,1.0,2.0,1.0,0
Edel Mark,PHI,0.0,0.0,0.0,0.0,0.0,0
Edgar Frankie,USA,0.0,6.0,4.0,4.0,0.0,0
Edgar Rae,USA,0.0,0.0,0.0,0.0,1.0,0
Edgeworth Rich,USA,0.0,0.0,1.0,0.0,4.0,0
Edgington Tyler,USA,0.0,0.0,0.0,0.0,1.0,0
Ediev Rasul,USA,0.0,0.0,0.0,0.0,2.0,0
Edilov Abdul-Kerim,RUS,0.0,9.0,0.0,7.0,3.0,0
Edinaldo Edinaldo,RUS,0.0,0.0,1.0,0.0,0.0,0
Edmondson Shaun,RUS,0.0,0.0,1.0,0.0,0.0,0
Edmund Wilfried,FRA,0.0,0.0,1.0,0.0,0.0,0
Eduarda Geovanna,BRA,0.0,0.0,0.0,0.0,1.0,0
Eduardo Carlos,BRA,0.0,5.0,1.0,8.0,0.0,0
Eduardo David,BRA,0.0,0.0,1.0,0.0,0.0,0
Eduardo Johnny,BRA,0.0,0.0,0.0,0.0,0.0,0
Eduardo Lucas,BRA,0.0,0.0,0.0,0.0,1.0,0
Edwards Adam,BRA,0.0,0.0,0.0,0.0,0.0,0
Edwards Adli,USA,0.0,1.0,0.0,2.0,0.0,0
Edwards Ben,AUS,0.0,3.0,0.0,0.0,0.0,0
Edwards Blue,AUS,0.0,0.0,0.0,0.0,1.0,0
Edwards Christian,AUS,0.0,0.0,0.0,0.0,1.0,0
Edwards Corey,AUS,0.0,0.0,1.0,0.0,0.0,0
Edwards Craig,AUS,0.0,0.0,1.0,0.0,1.0,0
Edwards Dan,AUS,0.0,0.0,1.0,0.0,3.0,0
Edwards Doug,AUS,0.0,0.0,0.0,0.0,1.0,0
Edwards Douglas,AUS,0.0,0.0,0.0,0.0,2.0,0
Edwards Fabian,ENG,0.0,3.0,0.0,3.0,0.0,0
