Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Faaiu Justus,USA,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
Faaloloto Edward,USA,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0
Faamai Jessica,USA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Faas Jordan,USA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Faavale Mika,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Faber Urijah,USA,,,0.0,0.0,0.0,0.0,0.0,0
Fabian Genah,NZL,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0
Fabian Melinda,HUN,4.0,4.0,2.0,0.0,0.0,4.0,2.0,0
Fabiano Luiz,HUN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fabiano Wagnney,BRA,,,0.0,2.0,0.0,8.0,2.0,0
Fabiano de Melo Jose Lucas,BRA,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0
Fabiano Silva Antonio,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fabinski Bartosz,POL,,,0.0,8.0,0.0,0.0,4.0,0
Fabio Carlos,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fabio Fabio,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fabrizi Robert,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Facchini Anthony,BRA,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0
Facchinieri Domenico,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Facey Jamaine,ENG,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0
Factor Lucas,ENG,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Fadai Sabah,CAN,7.0,4.0,0.0,4.0,1.0,3.0,2.0,0
Fadami Farbod,CAN,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Fadda Antonio,CAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Fadella Johnny,CAN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fader Steve,CAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fadiora Eugene,ENG,,,0.0,6.0,0.0,6.0,1.0,0
Fadipe Henry,ENG,2.0,3.0,0.0,1.0,1.0,1.0,2.0,0
Fagerlind Madelein,ENG,,,0.0,0.0,0.0,0.0,0.0,0
Fagiano Joe,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Faglier Jr. Jason,USA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Fagundes Gilliard Alfredo,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Fagundes Joao Paulo,BRA,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Fagyas Eric,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fahim bin Mohd Noh Muhammad,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fahimi Ayub,IRI,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fahretdinov Rinat,IRI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Faiddine Samir,FRA,,,0.0,3.0,0.0,3.0,1.0,0
Failla Mark,FRA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Fair Daniel,FRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Fairbanks Lisa Jo,FRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Faircloth Ron,FRA,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0
Fairless Wayne,ENG,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Fairley Craig,USA,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0
Fairn Jason,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fairn Zarah,FRA,6.0,4.0,0.0,4.0,1.0,0.0,1.0,0
Fairtex Yodkaikaew,FRA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Faitovich Arsen,UKR,4.0,2.0,0.0,2.0,1.0,2.0,1.0,0
Faivre Jonathan,UKR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fajardo Jose,UKR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Fajardo Rodrigo,UKR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Fakhreddine Mohammad,UKR,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Fakhretdinov Rinat,RUS,,,0.0,0.0,0.0,7.0,0.0,0
Fakov Astemir,RUS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Falcao Laura,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Falcao Luiz,RUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Falcao Maiquel,BRA,,,0.0,0.0,0.0,7.0,3.0,0
Falcao Pedro,BRA,,,0.0,6.0,1.0,4.0,0.0,0
Falciroli Gustavo,BRA,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0
Falco Pietro,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Falcon Renan,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Faley Sergey,BRA,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0
Fall Mamour,BRA,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0
