Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Rabadanov Gadzhi,RUS,0.0,0.0,0.0,7.0,2.0,4.0,1.0,0
Rabadon Jesus,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Rabatel Joffrey,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Rabaud Julian,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Raberg Olle,SWE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Raborn Jimmy,SWE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Rabugento Fabiano,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Rachek Nikolay,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Rachid Hicham,RUS,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Racic Antun,CRO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Racine Mark,CRO,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Rackliff Victor,CRO,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Racz Egon,CRO,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Racz Iren,CRO,0.0,5.0,1.0,0.0,1.0,0.0,3.0,0
Racz Istvan,CRO,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Raczynski Edwin,CRO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Raczynski Rafal,CRO,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Radach Benji,USA,4.0,5.0,0.0,3.0,3.0,0.0,0.0,0
Radael Ademir,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Radakovic Marko,BRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Radanzzo Joey,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Radcliff Aaron,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Radcliffe Jason,ENG,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0
