Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Ya Wei Wang,CHN,0.0,1.0,0.0,0.0,0.0
Yaakub Ali,CHN,0.0,0.0,0.0,0.0,1.0
Yabe Shotaro,JPN,0.0,0.0,0.0,0.0,0.0
Yabo Jimmy,PHI,0.0,5.0,4.0,0.0,1.0
Yabushita Megumi,PHI,0.0,0.0,2.0,0.0,3.0
Yachi Yusuke,JPN,0.0,6.0,4.0,2.0,3.0
Yackulic Mike,JPN,0.0,0.0,0.0,0.0,1.0
Yadegari Navid,JPN,0.0,0.0,0.0,0.0,1.0
Yadong Song,CHN,0.0,7.0,1.0,3.0,0.0
Yager Jamie,USA,0.0,3.0,2.0,3.0,1.0
Yager Joe,USA,0.0,0.0,0.0,0.0,1.0
Yagin Eddie,USA,0.0,5.0,2.0,5.0,1.0
Yagoue Fabrice,USA,0.0,0.0,0.0,0.0,0.0
Yagshimuradov Dovletdzhan,TKM,0.0,0.0,0.0,4.0,3.0
Yagudin Eldar,TKM,0.0,0.0,1.0,0.0,0.0
Yahagi Naoki,TKM,1.0,0.0,1.0,0.0,0.0
Yahia Sami,TKM,0.0,0.0,0.0,0.0,0.0
Yahya Mohammad,TKM,0.0,1.0,0.0,0.0,1.0
Yahya Rani,BRA,0.0,0.0,2.0,0.0,0.0
Yajima Yuichiro,BRA,0.0,0.0,0.0,0.0,0.0
Yakhyaev Abror,BRA,0.0,0.0,1.0,0.0,0.0
Yakhyaev Daler,UKR,0.0,0.0,0.0,0.0,1.0
Yakhyaev Harun,RUS,0.0,0.0,0.0,0.0,1.0
Yakhyaev Rasul,RUS,0.0,3.0,0.0,4.0,4.0
Yakovlev Alexander,RUS,0.0,9.0,0.0,9.0,5.0
Yakovlev Sergey,RUS,0.0,1.0,1.0,0.0,0.0
Yakubov Abylkasym,RUS,0.0,0.0,0.0,0.0,1.0
Yakubov Arip,RUS,0.0,0.0,0.0,0.0,0.0
Yakubov German,RUS,0.0,0.0,0.0,0.0,2.0
Yakul Shingo,RUS,0.0,0.0,1.0,0.0,0.0
Yakut Metin,RUS,0.0,0.0,1.0,1.0,0.0
Yakut Sahin,RUS,0.0,0.0,0.0,0.0,0.0
Yalbirdak Ahmet,SUI,0.0,0.0,1.0,0.0,0.0
Yalovenko Vitalii,SUI,0.0,0.0,3.0,0.0,0.0
Yamada Hana,JPN,0.0,0.0,1.0,0.0,0.0
Yamada Keisuke,JPN,1.0,0.0,0.0,0.0,0.0
Yamada Manabu,JPN,0.0,0.0,0.0,0.0,0.0
Yamada Moriyuki,JPN,0.0,0.0,0.0,0.0,0.0
Yamada Sotaro,JPN,0.0,0.0,0.0,1.0,0.0
