Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Pablo John,BRA,0.0,0.0,1.0,0.0,0.0
Pacarro Shane,BRA,0.0,0.0,1.0,0.0,0.0
Pacatiw Jeremy,BRA,0.0,0.0,0.0,0.0,0.0
Pace Nick,USA,0.0,1.0,0.0,4.0,0.0
Pace Will,USA,0.0,0.0,0.0,0.0,1.0
Pacheco Angel,USA,0.0,0.0,0.0,0.0,0.0
Pacheco Camrann,USA,0.0,0.0,0.0,0.0,1.0
Pacheco Christian,USA,0.0,0.0,0.0,0.0,1.0
Pacheco David,USA,0.0,1.0,0.0,0.0,0.0
Pacheco Fabio,USA,0.0,0.0,1.0,0.0,0.0
Pacheco Joe,USA,0.0,1.0,0.0,4.0,2.0
Pacheco Jose,USA,0.0,0.0,1.0,0.0,2.0
Pacheco Larissa,BRA,0.0,6.0,1.0,8.0,1.0
Pacheco Laura Goncalves,BRA,0.0,0.0,0.0,0.0,1.0
Pacheco Orlando,MEX,0.0,0.0,0.0,0.0,0.0
Pacheco Tyler,MEX,0.0,0.0,1.0,0.0,0.0
Pacheco de Jesus Andre,BRA,0.0,0.0,1.0,0.0,0.0
Pachu Eduardo,BRA,0.0,0.0,2.0,0.0,1.0
Pacio Joshua,PHI,0.0,7.0,0.0,9.0,2.0
Pack Ivan,PHI,0.0,0.0,1.0,0.0,0.0
Packalen Teemu,FIN,0.0,2.0,2.0,6.0,0.0
Pacurariu George,FIN,0.0,2.0,2.0,5.0,1.0
Paczek Piotr,FIN,0.0,0.0,1.0,0.0,0.0
Paczkow Robert,FIN,0.0,0.0,0.0,1.0,0.0
Padavia Isamael,FRA,0.0,0.0,0.0,0.0,0.0
Padeken Auggie,FRA,0.0,0.0,0.0,0.0,0.0
Padeken Cheyanne,FRA,0.0,0.0,0.0,0.0,1.0
Padilha Cyrillo,FRA,0.0,0.0,0.0,0.0,0.0
Padilha da Silva Danilo,BRA,0.0,0.0,1.0,0.0,0.0
Padilla Adam,BRA,0.0,0.0,2.0,0.0,1.0
Padilla Chris,USA,0.0,4.0,1.0,3.0,2.0
Padilla David,USA,0.0,0.0,0.0,0.0,2.0
Padilla Fernando,MEX,0.0,4.0,0.0,8.0,0.0
Padilla Gary,USA,0.0,1.0,0.0,0.0,0.0
Padilla Kaleo,USA,0.0,0.0,1.0,0.0,1.0
Padilla Severo,USA,0.0,0.0,1.0,0.0,0.0
Padilla Sheila,USA,0.0,0.0,1.0,0.0,0.0
Padmi Putri,INA,0.0,0.0,0.0,0.0,0.0
Padure Constantin,INA,0.0,0.0,1.0,0.0,1.0
Paes Erica,INA,0.0,0.0,0.0,1.0,0.0
Paes Leandro,BRA,0.0,0.0,1.0,0.0,2.0
Paes Nelson,BRA,0.0,0.0,0.0,0.0,1.0
Paez Ruben,BRA,0.0,0.0,0.0,0.0,0.0
Paffrath Caleb,BRA,0.0,0.0,0.0,0.0,1.0
Pagano Mike,BRA,0.0,0.0,1.0,0.0,0.0
Page Chris,BRA,0.0,0.0,1.0,0.0,1.0
Page Damacio,USA,0.0,0.0,0.0,8.0,8.0
Page Michael,ENG,0.0,0.0,0.0,3.0,0.0
Page Nick,ENG,0.0,0.0,0.0,0.0,0.0
Pagliaro Anthony,ENG,0.0,0.0,0.0,0.0,1.0
Paglinawan Ryan,ENG,0.0,0.0,1.0,0.0,0.0
Pagtakhan Dino,ENG,0.0,0.0,0.0,0.0,1.0
Pague Dustin,USA,0.0,3.0,4.0,8.0,2.0
Pahan Cody,USA,0.0,0.0,0.0,0.0,1.0
Paholm Nisse,USA,0.0,0.0,0.0,0.0,1.0
Pahrudinov Aziz,USA,1.0,0.0,0.0,0.0,0.0
Pai de Santo Messias,USA,0.0,0.0,2.0,0.0,1.0
Paico Jorge Luis,PER,0.0,0.0,0.0,0.0,1.0
Paiffer Bruna,PER,0.0,0.0,0.0,0.0,1.0
Paige Harry,PER,0.0,0.0,1.0,0.0,0.0
Paige Ray,PER,0.0,0.0,0.0,0.0,1.0
Paige Spencer,PER,0.0,0.0,1.0,0.0,0.0
Paige Tyrone,USA,0.0,0.0,0.0,0.0,3.0
Paine John,USA,0.0,0.0,1.0,0.0,0.0
Painter Jason,USA,0.0,0.0,0.0,0.0,0.0
Painter Ryan,USA,0.0,0.0,0.0,0.0,0.0
Paisedes Diego,USA,0.0,0.0,0.0,0.0,1.0
Paitoon Jaikom,USA,0.0,0.0,0.0,0.0,1.0
Paiva Alysson,USA,0.0,0.0,0.0,0.0,0.0
Paiva Diego,USA,0.0,0.0,0.0,0.0,1.0
Paiva Dinis,USA,0.0,7.0,0.0,2.0,4.0
Paiva Geraldo,USA,0.0,0.0,2.0,0.0,0.0
Paiva Josh,USA,0.0,2.0,0.0,6.0,0.0
Paiva Raulian,BRA,0.0,4.0,2.0,3.0,1.0
Paiva Samuel,BRA,0.0,0.0,0.0,0.0,1.0
Paiva Willyanedson,BRA,0.0,0.0,0.0,0.0,2.0
Paivinen Kari,BRA,0.0,0.0,0.0,0.0,2.0
Paixao Alvaro,BRA,0.0,0.0,0.0,0.0,1.0
Paixao Arilson,BRA,0.0,0.0,1.0,0.0,0.0
Paixao Fredson,BRA,0.0,0.0,1.0,1.0,0.0
Paixao Mauro,BRA,0.0,0.0,0.0,0.0,1.0
Pajic Julija,GER,0.0,2.0,2.0,1.0,0.0
Pak Valeria,RUS,0.0,0.0,0.0,0.0,1.0
Pakhrutdinov Ullubiy,RUS,0.0,0.0,0.0,0.0,1.0
Pakoto Igor,RUS,0.0,0.0,0.0,0.0,0.0
Pakutinskas Tomas,LTU,0.0,0.0,0.0,0.0,1.0
Pal Ana Maria,ROM,0.0,0.0,0.0,0.0,2.0
Pala Giacomo,ROM,0.0,0.0,1.0,0.0,0.0
Palacio Van Michael,ROM,0.0,0.0,1.0,0.0,0.0
Palacios Jason,ROM,0.0,0.0,0.0,1.0,2.0
Palacios Jose,ROM,0.0,0.0,0.0,0.0,1.0
Palacios Ricky,USA,0.0,6.0,0.0,0.0,1.0
Palacios Robert,USA,0.0,0.0,1.0,0.0,1.0
Palaiologos Ioannis,USA,0.0,0.0,1.0,0.0,1.0
Palamar Roman,GER,0.0,0.0,1.0,0.0,0.0
Palaszewski Bart,USA,0.0,0.0,0.0,0.0,0.0
Palatnikov Sasha,HKG,0.0,3.0,2.0,0.0,2.0
Palau Diego,HKG,0.0,0.0,0.0,0.0,1.0
Palbykin Mark,USA,0.0,0.0,0.0,0.0,0.0
Palchenkov Vladimir,USA,0.0,0.0,0.0,0.0,0.0
Palebi Marco,USA,0.0,0.0,0.0,0.0,1.0
Palec Jason,USA,0.0,0.0,0.0,0.0,0.0
Paleka Martonio,USA,0.0,0.0,1.0,0.0,0.0
Palelei Soa,AUS,0.0,0.0,0.0,4.0,1.0
Palencia Kelii,AUS,0.0,0.0,0.0,0.0,0.0
Palencia Richard,USA,0.0,0.0,0.0,3.0,0.0
Palhano Luciano,USA,0.0,0.0,0.0,0.0,0.0
Palhares Rick,USA,0.0,0.0,1.0,0.0,0.0
Palhares Rousimar,BRA,0.0,1.0,7.0,0.0,0.0
Palhares Tulio,BRA,0.0,1.0,1.0,0.0,0.0
Palheta Duarte Jr. Sozinaldo,BRA,0.0,0.0,1.0,0.0,0.0
Paliunis Ramunas,LTU,0.0,0.0,2.0,0.0,0.0
Paliy Vladimir,LTU,0.0,0.0,0.0,0.0,1.0
Pallai Tomas,LTU,0.0,0.0,0.0,0.0,1.0
Pallett Bobby,LTU,0.0,3.0,0.0,1.0,0.0
Palling Stephen,LTU,0.0,2.0,2.0,1.0,3.0
Pallone Vinny,LTU,0.0,0.0,1.0,0.0,0.0
Palm Joar,SWE,0.0,0.0,0.0,1.0,0.0
Palm Pedro,SWE,0.0,0.0,1.0,0.0,0.0
Palma Claudio,SWE,0.0,0.0,0.0,0.0,1.0
Palmer Derek,SWE,0.0,0.0,0.0,0.0,1.0
Palmer Donald,SWE,0.0,0.0,2.0,0.0,0.0
Palmer George,SWE,0.0,0.0,1.0,0.0,1.0
Palmer Jay,USA,0.0,0.0,1.0,0.0,4.0
Palmer Josh,USA,0.0,0.0,0.0,0.0,0.0
Palmer Lance,USA,0.0,1.0,0.0,8.0,1.0
Palmer Nick,USA,0.0,0.0,0.0,0.0,0.0
Palmer Stephanie,USA,0.0,0.0,2.0,0.0,0.0
Palmer Tim,USA,0.0,0.0,1.0,0.0,0.0
Palmer Tye,USA,0.0,0.0,1.0,0.0,1.0
Palomares Gabriel,USA,0.0,0.0,0.0,0.0,0.0
Palomares Javier,USA,0.0,0.0,1.0,0.0,0.0
Palomba Daniele,ESP,0.0,0.0,1.0,0.0,0.0
Palombi Emanuele,ITA,0.0,3.0,1.0,1.0,0.0
Palomino Luis,PER,0.0,0.0,0.0,2.0,3.0
Palu Eti,PER,0.0,0.0,0.0,0.0,1.0
Palyok Vasily,RUS,0.0,0.0,0.0,0.0,0.0
Pamplona Eduardo,BRA,0.0,1.0,2.0,0.0,0.0
Panada Youri,BRA,0.0,0.0,1.0,0.0,0.0
Panagiotara Despina,BRA,0.0,0.0,1.0,0.0,0.0
Panajotovic Dusan,SER,0.0,0.0,0.0,1.0,0.0
Pananganan Pono,SER,0.0,0.0,1.0,0.0,0.0
Panasyuk Alexander,UKR,0.0,0.0,2.0,0.0,0.0
Panayiotis Donovan,UKR,0.0,0.0,1.0,0.0,0.0
Pancada Jhone,BRA,0.0,0.0,0.0,0.0,1.0
Panda Everton,BRA,0.0,0.0,0.0,0.0,1.0
Pandora Ricardo,BRA,0.0,0.0,1.0,0.0,0.0
Panegirico Lili,FRA,0.0,0.0,1.0,0.0,0.0
Panfilii Gheorghe,FRA,0.0,0.0,0.0,0.0,1.0
Pang Adrian,AUS,0.0,6.0,3.0,0.0,0.0
Pangilinan Karlee,AUS,0.0,4.0,0.0,2.0,1.0
Paniagua Wilber,AUS,0.0,0.0,1.0,0.0,0.0
Panicucci Tim,AUS,0.0,0.0,1.0,0.0,0.0
Panin Marius,AUS,0.0,0.0,1.0,0.0,1.0
Panjabutra D.K.,AUS,0.0,0.0,0.0,0.0,0.0
Panjabutra Tondamrong,AUS,0.0,0.0,0.0,0.0,1.0
Pankey Josh,AUS,0.0,0.0,0.0,0.0,1.0
Panteleev Vitaliy,AUS,0.0,0.0,1.0,0.0,0.0
Panteley Roman,AUS,0.0,0.0,0.0,0.0,1.0
Panter Tim,AUS,0.0,0.0,1.0,1.0,0.0
Pantin Odell,USA,0.0,0.0,2.0,0.0,0.0
Pantoja Alexandre,BRA,0.0,8.0,0.0,9.0,0.0
Pantoja Luz Alberto,BRA,0.0,0.0,0.0,0.0,1.0
Panu Donatella,BRA,0.0,0.0,0.0,0.0,1.0
Panzer Benedikt,BRA,0.0,0.0,0.0,1.0,0.0
Paolili Vito,BRA,0.0,0.0,0.0,0.0,0.0
Papa Ernesto,BRA,0.0,0.0,0.0,1.0,1.0
Papadopoulos Dionysis,BRA,0.0,0.0,1.0,0.0,0.0
Papadopoulos Larry,BRA,0.0,0.0,0.0,0.0,1.0
Papadopoulos Sokratis,BRA,0.0,0.0,1.0,0.0,0.0
Papagni Demian,BRA,0.0,0.0,2.0,0.0,1.0
Papaioannou Kon,BRA,0.0,0.0,0.0,0.0,0.0
Papazian Jared,USA,0.0,6.0,2.0,2.0,6.0
Pape Dustin,USA,0.0,0.0,2.0,0.0,1.0
Papouasvili Giorgos,USA,0.0,0.0,0.0,0.0,3.0
Papp Tim,USA,0.0,0.0,1.0,0.0,0.0
Pappas Alexander,USA,0.0,0.0,1.0,0.0,1.0
Paprocki Kathryn,USA,0.0,0.0,0.0,1.0,1.0
Papusha Vladimir,UKR,0.0,0.0,0.0,0.0,2.0
Paquette Claude,UKR,0.0,0.0,0.0,0.0,0.0
Para Junio,BRA,0.0,0.0,1.0,0.0,0.0
Para Smith William,BRA,0.0,0.0,0.0,0.0,0.0
Paradeiser Ronald,BRA,0.0,0.0,1.0,0.0,0.0
Parades Joel,BRA,0.0,0.0,0.0,0.0,0.0
Paraiba Aldenir,BRA,0.0,0.0,0.0,1.0,1.0
Paraiba Guilherme,BRA,0.0,0.0,0.0,0.0,1.0
Paraisy Norman,FRA,0.0,3.0,0.0,5.0,3.0
Parata Pete,FRA,0.0,0.0,1.0,0.0,0.0
Parazinho Robson,FRA,0.0,0.0,1.0,0.0,0.0
Parchenko Andrey,FRA,0.0,0.0,0.0,0.0,1.0
Pardo Joe,FRA,0.0,0.0,0.0,0.0,1.0
Pardoe Bryan,FRA,0.0,0.0,2.0,0.0,1.0
Pardoel Remco,FRA,0.0,1.0,0.0,2.0,2.0
Pare Isabelle,FRA,0.0,1.0,0.0,0.0,0.0
Pare Mauricio Ariel,ARG,0.0,0.0,0.0,0.0,1.0
Pare Yannick,CAN,0.0,0.0,1.0,0.0,0.0
Paredes Anthony,CAN,0.0,0.0,1.0,0.0,0.0
Parenteau Ray,CAN,0.0,0.0,0.0,0.0,1.0
Parenti Stephan,CAN,0.0,0.0,0.0,0.0,1.0
Parham Ken,CAN,0.0,0.0,0.0,0.0,0.0
Pariente Ido,CAN,0.0,0.0,0.0,0.0,1.0
Pariseau Dave,CAN,0.0,0.0,1.0,0.0,1.0
Pariseau Tommy,CAN,0.0,0.0,0.0,0.0,0.0
Pariser Oz,CAN,0.0,0.0,0.0,1.0,0.0
Parish Cody,CAN,0.0,0.0,1.0,0.0,0.0
Parisian Josh,USA,0.0,0.0,0.0,2.0,1.0
Parisyan Karo,USA,0.0,3.0,6.0,0.0,0.0
Park Chanseong,USA,0.0,0.0,0.0,0.0,0.0
Park Dae Sung,KOR,0.0,0.0,0.0,0.0,0.0
Park Dong Kyu,SKO,0.0,0.0,0.0,0.0,0.0
Park Eun Seok,SKO,0.0,0.0,1.0,0.0,0.0
Park Frank,SKO,0.0,0.0,1.0,0.0,1.0
Park Geun Do,SKO,0.0,0.0,0.0,0.0,1.0
Park Graham,CAN,0.0,2.0,0.0,1.0,2.0
Park Gun Hwan,CAN,0.0,0.0,0.0,0.0,1.0
Park Gwang-Su,CAN,0.0,0.0,0.0,0.0,0.0
Park Hae Jin,CAN,0.0,0.0,1.0,0.0,0.0
Park Han Bin,CAN,0.0,0.0,2.0,0.0,0.0
Park Harvey,USA,0.0,7.0,2.0,4.0,0.0
Park Hyun Gab,USA,0.0,0.0,0.0,0.0,1.0
Park Hyun Gyu,SKO,0.0,0.0,0.0,0.0,1.0
Park Hyun Jong,SKO,0.0,0.0,1.0,0.0,0.0
Park Il Gyu,SKO,0.0,0.0,0.0,0.0,0.0
Park Il-Chul,SKO,0.0,0.0,0.0,0.0,0.0
Park Jeong Eun,SKO,0.0,0.0,0.0,0.0,0.0
Park Jung Hoon,SKO,0.0,0.0,0.0,0.0,1.0
Park Jung Kyo,SKO,0.0,0.0,0.0,0.0,0.0
Park Jung-Gyo,SKO,0.0,0.0,1.0,0.0,0.0
Park Junyong,KOR,0.0,5.0,1.0,3.0,2.0
Park So Young,SKO,0.0,0.0,0.0,0.0,1.0
Park Won Sik,SKO,0.0,0.0,3.0,0.0,1.0
Parkaiphet Saengchot,SKO,0.0,0.0,0.0,0.0,2.0
Parke Norman,NIR,0.0,4.0,1.0,0.0,0.0
Parker Andrew,USA,0.0,1.0,1.0,2.0,1.0
Parker Andrew,USA,0.0,0.0,2.0,4.0,0.0
Parker Art,USA,0.0,0.0,0.0,0.0,4.0
Parker Arthur,USA,0.0,0.0,0.0,0.0,2.0
Parker Davey,USA,0.0,0.0,0.0,0.0,2.0
Parker Derek,CAN,0.0,0.0,0.0,0.0,0.0
Parker Dez,ENG,0.0,1.0,4.0,1.0,0.0
Parker Dwight,USA,0.0,0.0,1.0,0.0,1.0
Parker Eugene,USA,0.0,0.0,0.0,0.0,1.0
Parker Evan,USA,0.0,0.0,0.0,0.0,1.0
Parker Greg,USA,0.0,1.0,0.0,4.0,1.0
Parker Jesse,USA,0.0,0.0,1.0,0.0,0.0
