Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Sa Jin Kwok Michael,USA,0.0,0.0,0.0,1.0,0.0
Saada Feras,USA,0.0,0.0,1.0,0.0,0.0
Saadeh Rany,GER,0.0,4.0,0.0,1.0,2.0
Saadulaev Magomed,RUS,0.0,0.0,0.0,0.0,1.0
Saadulaev Yusup,RUS,0.0,2.0,4.0,0.0,0.0
Saarinen Juha,RUS,0.0,0.0,3.0,1.0,0.0
Saaveda Alejandro,RUS,0.0,0.0,1.0,0.0,0.0
Saavedra Shane,RUS,0.0,0.0,1.0,0.0,0.0
Sabaitis Gabriel,RUS,0.0,0.0,0.0,0.0,0.0
Sabala Pete,RUS,0.0,0.0,0.0,0.0,2.0
Sabanal Angelie,RUS,0.0,0.0,0.0,0.0,1.0
Sabara Alexandre,BRA,0.0,0.0,1.0,0.0,0.0
Sabatello Danny,USA,0.0,3.0,1.0,4.0,0.0
Sabatini Pat,USA,0.0,2.0,1.0,0.0,0.0
Saber Aya Saeid,USA,0.0,0.0,3.0,0.0,2.0
Saber Rebin,USA,0.0,0.0,0.0,0.0,0.0
Sabino Valdir Silva,USA,0.0,0.0,0.0,0.0,1.0
Sablan Giovanni,MNP,0.0,0.0,0.0,0.0,3.0
Sabo Gabriel,SUI,0.0,0.0,2.0,0.0,0.0
Sabori Pablo,MEX,0.0,0.0,0.0,0.0,1.0
Sabu Jorge,MEX,0.0,0.0,1.0,0.0,0.0
Sabyrzhan Uulu Samarbek,MEX,0.0,0.0,0.0,0.0,1.0
Saccaro Marco,ITA,0.0,0.0,0.0,0.0,1.0
Saccomanno Xavier,USA,0.0,0.0,0.0,0.0,2.0
Sadan Everaldo,BRA,0.0,0.0,0.0,0.0,1.0
Sadauskas Vytautas,LTU,0.0,0.0,0.0,0.0,1.0
Sadecki Krzysztof,LTU,0.0,0.0,0.0,0.0,0.0
Sadeghi Navied,LTU,0.0,0.0,0.0,0.0,1.0
Sadier Tuerdiaji,CHN,0.0,0.0,0.0,0.0,1.0
Sadiki Bilaf,CHN,0.0,0.0,1.0,0.0,0.0
Sadikovic Asmir,CHN,0.0,0.0,0.0,0.0,1.0
Sadollah Amir,USA,0.0,1.0,1.0,1.0,0.0
Sadulajev Turpal-Ali,AUT,0.0,0.0,1.0,0.0,0.0
Sadulloev Salimkhan,AUT,0.0,0.0,1.0,0.0,0.0
Sadura Katarzyna,POL,0.0,3.0,2.0,1.0,2.0
Saeed Afnan,ENG,0.0,0.0,2.0,0.0,0.0
Saeed Mario,ENG,0.0,0.0,3.0,0.0,0.0
Saegusa Yoshihiro,ENG,0.0,0.0,0.0,0.0,0.0
Saeki Yuji,ENG,0.0,0.0,1.0,0.0,0.0
Saenz Celeste,ENG,0.0,0.0,1.0,0.0,0.0
Saenz Flor,ENG,0.0,0.0,1.0,0.0,0.0
Saenz Frankie,USA,0.0,3.0,4.0,2.0,0.0
Saenz Greg,USA,0.0,0.0,0.0,0.0,0.0
Saenz Jarod,USA,0.0,0.0,0.0,0.0,3.0
Saenz Sammy,USA,0.0,0.0,1.0,0.0,0.0
Saenz Flores Sarai,USA,0.0,0.0,0.0,0.0,0.0
Safarov Niyaz,AZE,0.0,0.0,0.0,0.0,1.0
Safarov Saparbeg,RUS,0.0,6.0,1.0,2.0,2.0
Saffiedine Tarec,BEL,0.0,1.0,1.0,5.0,0.0
Safi Amir,BEL,0.0,0.0,1.0,0.0,0.0
Safiari Armin,BEL,0.0,0.0,0.0,0.0,0.0
Safronov Anatoly,UKR,0.0,0.0,2.0,0.0,6.0
Sagadeev Ilgiz,UKR,0.0,0.0,0.0,0.0,0.0
Sagas Otavio,UKR,0.0,0.0,0.0,0.0,1.0
Sagate Rogerio,UKR,0.0,0.0,0.0,0.0,2.0
Sagen Gard Olve,NOR,0.0,0.0,2.0,0.0,0.0
Saggo Jason,CAN,0.0,3.0,1.0,8.0,0.0
Saghliani Aleko,GEO,0.0,0.0,1.0,0.0,0.0
Sagidgusenov Achmed,GEO,0.0,0.0,0.0,0.0,1.0
Sagman Gabe,GEO,0.0,0.0,1.0,0.0,0.0
Sagmeister Manuel,GEO,0.0,0.0,0.0,0.0,1.0
Sahinbas Can,GEO,0.0,1.0,1.0,0.0,0.0
Sahnoune Mohamed,FRA,0.0,0.0,1.0,0.0,0.0
Saidaliev Kazbek,FRA,0.0,1.0,1.0,0.0,0.0
Saidi Issa,FRA,0.0,0.0,0.0,0.0,1.0
Saidjamolov Jahongir,FRA,0.0,0.0,1.0,0.0,0.0
Saidov Aslambek,POL,0.0,5.0,2.0,5.0,2.0
Saidov Nazim,POL,0.0,0.0,0.0,0.0,1.0
Saif Ali,POL,0.0,0.0,1.0,0.0,0.0
Saiga Kizaemon,JPN,0.0,0.0,1.0,0.0,1.0
Sailik Makshati,JPN,0.0,0.0,0.0,0.0,1.0
Sailike Makeshate,CHN,0.0,0.0,1.0,0.0,1.0
Sailikebieke Yasen,CHN,0.0,0.0,1.0,0.0,0.0
Sainci Mark,USA,0.0,0.0,0.0,0.0,1.0
Saint Denis Benoit,FRA,0.0,1.0,0.0,7.0,0.0
Saint Louis J.P.,USA,0.0,0.0,2.0,1.0,0.0
Saint Preux Ovince,HAI,0.0,0.0,0.0,7.0,3.0
Saintil Junaure,HAI,0.0,0.0,1.0,0.0,0.0
Saioka Asako,HAI,0.0,0.0,0.0,0.0,2.0
Saito Anna,JPN,0.0,0.0,0.0,0.0,3.0
Saito Atsushi,JPN,0.0,0.0,0.0,0.0,1.0
Saito Ayumi,JPN,0.0,0.0,0.0,0.0,1.0
Saito Masaomi,JPN,0.0,0.0,0.0,0.0,0.0
Saito Seri,JPN,0.0,0.0,0.0,0.0,1.0
Saito Steven,JPN,0.0,0.0,1.0,0.0,0.0
Saito Toshiyuki,JPN,0.0,0.0,1.0,0.0,0.0
Saito Yo,JPN,0.0,0.0,0.0,0.0,0.0
Saito Yoji,JPN,0.0,0.0,1.0,0.0,0.0
Saito Yuko,JPN,0.0,0.0,0.0,0.0,0.0
Saito Yutaka,JPN,0.0,0.0,0.0,0.0,0.0
Sajbor Grzegorz,POL,0.0,0.0,0.0,0.0,1.0
Sajewski Lukasz,POL,0.0,2.0,2.0,7.0,1.0
Saka Yukio,POL,0.0,0.0,0.0,0.0,0.0
Sakaev Georgy,RUS,0.0,0.0,2.0,0.0,0.0
Sakaguchi Yukio,RUS,0.0,0.0,2.0,0.0,1.0
Sakahara Yasuhiro,JPN,0.0,0.0,1.0,0.0,0.0
