Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Jabbari Seyed Razi,,0,1,0,0,0,0,1
Jablatte Ossama,,0,1,0,0,1,0,0
Jablonski Bartosz,,0,1,0,0,0,0,1
Jabouin Yves,CAN,,,,,,1,4
Jabri Wallid,CAN,0,1,0,0,0,0,1
Jaca Nelson,CAN,1,0,0,0,0,1,0
Jacare Alexandre,CAN,0,2,0,0,0,0,2
Jacare Claudio,CAN,0,1,0,0,0,0,1
Jacare Leo,CAN,0,1,0,0,1,0,0
Jacare Leonardo,CAN,0,1,0,0,0,0,0
Jacintho Arthur,CAN,0,2,0,0,0,0,1
Jack Avi,CAN,1,4,0,1,1,0,2
Jack James,CAN,0,2,0,0,1,0,0
Jack Jay,CAN,0,1,0,0,0,0,0
Jackson Adail,BRA,0,1,0,0,0,0,0
Jackson Casey,BRA,0,1,0,0,0,0,1
Jackson Corey,BRA,0,1,0,0,0,0,0
Jackson Craig,BRA,1,1,0,1,1,0,0
Jackson Damon,USA,,,,3,3,,
Jackson Dejuan,USA,0,2,0,0,1,0,1
Jackson Demarques,USA,,,,2,3,5,0
Jackson Devoniere,USA,0,2,0,0,1,0,1
Jackson Eddie,USA,0,1,0,0,0,0,1
Jackson Edward,USA,0,1,0,0,1,0,0
Jackson Eugene,USA,6,6,0,3,3,2,3
Jackson Gregory,USA,,,,,,,
Jackson Imani,USA,0,1,0,0,1,0,0
Jackson Jason,USA,,,,4,2,3,0
Jackson Jay,USA,0,5,0,0,0,0,4
Jackson Jeremy,USA,2,5,0,2,2,0,3
Jackson Johnathon,USA,0,1,0,0,0,0,1
Jackson Josh,USA,0,1,0,0,0,0,1
Jackson Kate,ENG,,,,6,2,1,1
Jackson Ken,USA,1,7,1,0,6,1,0
Jackson Kenyon,USA,0,4,0,0,2,0,1
Jackson Kevin,USA,2,2,0,1,0,1,2
Jackson Keyon,USA,0,2,0,0,2,0,0
Jackson Kyle,USA,0,1,0,0,0,0,1
Jackson Lacie,USA,0,3,0,0,2,0,0
Jackson Ladarious,USA,0,3,0,0,1,0,1
Jackson Marques,USA,0,1,0,0,1,0,0
Jackson Maurice,USA,0,1,0,0,0,0,1
Jackson Maurice,USA,7,3,0,4,1,0,2
Jackson Michael,USA,0,2,0,0,1,0,1
Jackson Mike,USA,3,5,0,0,3,2,1
Jackson Mike,USA,0,1,0,0,0,0,1
Jackson Mitch,USA,0,3,0,0,1,0,2
Jackson Montel,USA,,,,6,0,1,0
Jackson Nicholas,USA,2,1,0,0,0,1,1
Jackson Niko,USA,0,0,0,0,0,0,0
Jackson P.J.,USA,0,1,0,0,1,0,0
Jackson Quinton,USA,,,,,,5,2
Jackson Ramon,USA,0,1,0,0,0,0,0
Jackson Rashaun,USA,0,2,0,0,1,0,0
Jackson Ricky,USA,0,0,0,0,0,0,0
Jackson Rob,USA,0,4,0,0,4,0,0
Jackson Ron,USA,0,3,0,0,1,0,0
Jackson Roscoe,USA,0,2,0,0,2,0,0
Jackson Sam,USA,0,2,0,0,0,0,1
Jackson Thomas,USA,0,1,0,0,0,0,1
Jackson Tyler,USA,1,3,1,0,0,0,2
Jackson III William,USA,1,0,0,0,0,0,0
Jackubowski Jason,USA,1,0,0,0,0,0,0
Jacob Eric,USA,0,2,0,0,1,0,1
Jacobs Abe,USA,0,1,0,0,0,0,1
Jacobs Faeez,RSA,0,1,0,0,0,0,1
Jacobs Kelly,RSA,0,1,0,0,0,0,1
Jacobs Ken,RSA,0,1,0,0,0,0,1
Jacobs Ronald,RSA,1,3,0,1,2,0,1
Jacobsen Alexander,NOR,9,5,0,4,2,4,3
Jacobsen Jesse,NOR,0,1,0,0,1,0,0
Jacobson Kevin,NOR,0,1,0,0,1,0,0
Jacobson Sharon,USA,6,5,0,2,0,0,3
Jacobson William,USA,0,1,0,0,1,0,0
Jacoby Dustin,USA,,,,,,1,2
Jacolin Yan,USA,0,1,0,0,1,0,0
Jacquelin Christopher,FRA,8,3,0,1,1,6,1
Jacques Rangel Kewin,BRA,0,1,0,0,0,0,1
Jacquet Yannis,FRA,0,3,0,0,2,0,1
Jacquez Fabian,FRA,0,1,0,0,0,0,1
Jacquier Chas,FRA,0,4,0,0,1,0,3
Jadamba Narantungalag,MGL,,,,3,3,5,2
Jae Jun Yong,MGL,0,1,0,0,0,0,1
Jaeger Ariel,MGL,0,1,0,0,0,0,0
Jafarli Kenan,AZE,0,3,0,0,0,0,3
Jagger Ben,AZE,0,1,0,0,0,0,1
Jaggers Matt,AZE,0,5,0,0,2,0,3
Jahnsen Aaron,NOR,0,1,0,0,1,0,0
Jahongir Mamarizaev,NOR,0,2,1,0,0,0,1
Jahovic Adam,ENG,0,1,0,0,0,0,0
Jahri Fahd,ENG,0,1,0,0,0,0,0
Jahrling Dylan,ENG,0,1,0,0,1,0,0
Jaime Nathan,ENG,0,2,0,0,0,0,2
Jaime Shaine,ENG,0,1,0,0,0,0,0
Jaja Jaja,BRA,0,1,0,0,1,0,0
Jajout Johnson,USA,0,2,0,0,0,0,1
Jakopic Ivica,CRO,0,2,0,0,1,0,1
Jakovcevic Zvonko,CRO,0,1,0,0,0,0,1
Jakovlev Alexander,CRO,0,1,0,0,1,0,0
Jaksic Miljan,SER,0,1,0,0,0,0,1
Jakubiec Tomasz,POL,1,1,0,1,0,0,0
Jakubik Marian,SVK,0,0,0,0,0,0,0
Jakubowski Grzegorz,SVK,2,1,0,0,0,1,0
Jalloh Patrick,SVK,0,1,0,0,1,0,0
Jamantha Fabio,SVK,0,1,0,0,1,0,0
Jambor Roderik,SVK,0,1,0,0,1,0,0
Jamerson Robert,SVK,0,2,0,0,0,0,1
James Aidan,SVK,1,1,0,0,1,1,0
James Carmela,USA,0,4,0,0,1,0,1
James Cedric,USA,0,4,0,0,3,0,1
James Cody,USA,1,1,0,0,1,1,0
James Dan,USA,0,1,0,0,0,0,1
James Daniel,USA,7,4,1,4,1,2,1
James Darcy,USA,0,1,0,0,0,0,1
James Donnie,USA,0,1,0,0,0,0,1
James Dr Kevin,USA,,,,,,,
James Ernest,USA,1,1,0,1,1,0,0
