Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Sa Guybson,,0,1,0,0,0,0,0
Sa Bessa Lucas Danilo,,0,1,0,0,0,0,0
Sa Jin Kwok Michael,USA,1,0,0,0,0,1,0
Saada Feras,USA,0,1,0,0,1,0,0
Saadeh Rany,GER,,,,4,0,1,2
Saadulaev Magomed,RUS,1,1,0,0,0,0,1
Saadulaev Yusup,RUS,,,,2,4,,
Saarinen Juha,RUS,2,3,0,0,3,1,0
Saaveda Alejandro,RUS,0,1,0,0,1,0,0
Saavedra Shane,RUS,0,1,0,0,1,0,0
Sabaitis Gabriel,RUS,,,,,,,
Sabala Pete,RUS,0,3,0,0,0,0,2
Sabanal Angelie,RUS,0,1,0,0,0,0,1
Sabara Alexandre,BRA,0,1,0,0,1,0,0
Sabatello Danny,USA,,,,3,1,4,0
Sabatini Pat,USA,,,,2,1,,
Saber Aya Saeid,USA,0,5,0,0,3,0,2
Saber Rebin,USA,,,,,,,
Sabino Valdir Silva,USA,0,2,0,0,0,0,1
Sablan Giovanni,MNP,0,3,0,0,0,0,3
Sabo Gabriel,SUI,0,2,0,0,2,0,0
Sabori Pablo,MEX,1,2,0,0,0,0,1
Sabu Jorge,MEX,0,1,0,0,1,0,0
Sabyrzhan Uulu Samarbek,MEX,0,1,0,0,0,0,1
Saccaro Marco,ITA,0,2,0,0,0,0,1
Saccomanno Xavier,USA,0,2,0,0,0,0,2
Sadan Everaldo,BRA,0,1,0,0,0,0,1
Sadauskas Vytautas,LTU,0,3,0,0,0,0,1
Sadecki Krzysztof,LTU,0,1,0,0,0,0,0
Sadeghi Navied,LTU,0,1,0,0,0,0,1
Sadier Tuerdiaji,CHN,0,1,0,0,0,0,1
Sadiki Bilaf,CHN,0,1,0,0,1,0,0
Sadikovic Asmir,CHN,0,1,0,0,0,0,1
Sadollah Amir,USA,6,5,0,1,1,1,0
Sadulajev Turpal-Ali,AUT,0,1,0,0,1,0,0
Sadulloev Salimkhan,AUT,0,1,0,0,1,0,0
Sadura Katarzyna,POL,5,4,0,3,2,1,2
Saeed Afnan,ENG,0,3,0,0,2,0,0
Saeed Mario,ENG,0,3,0,0,3,0,0
Saegusa Yoshihiro,ENG,0,0,0,0,0,0,0
Saeki Yuji,ENG,0,1,0,0,1,0,0
Saenz Celeste,ENG,0,1,0,0,1,0,0
Saenz Flor,ENG,0,1,0,0,1,0,0
Saenz Frankie,USA,,,,3,4,2,0
Saenz Greg,USA,0,1,0,0,0,0,0
Saenz Jarod,USA,0,3,0,0,0,0,3
Saenz Sammy,USA,0,1,0,0,1,0,0
Saenz Flores Sarai,USA,0,1,0,0,0,0,0
Safarov Niyaz,AZE,0,1,0,0,0,0,1
Safarov Saparbeg,RUS,9,3,0,6,1,2,2
Saffiedine Tarec,BEL,,,,1,1,5,0
Safi Amir,BEL,0,1,0,0,1,0,0
Safiari Armin,BEL,0,0,0,0,0,0,0
Safronov Anatoly,UKR,0,9,0,0,2,0,6
Sagadeev Ilgiz,UKR,0,1,0,0,0,0,0
Sagas Otavio,UKR,0,1,0,0,0,0,1
Sagate Rogerio,UKR,0,2,0,0,0,0,2
Sagen Gard Olve,NOR,0,2,0,0,2,0,0
Saggo Jason,CAN,,,,3,1,8,0
Saghliani Aleko,GEO,0,1,0,0,1,0,0
Sagidgusenov Achmed,GEO,0,1,0,0,0,0,1
Sagman Gabe,GEO,0,1,0,0,1,0,0
Sagmeister Manuel,GEO,0,1,0,0,0,0,1
Sahinbas Can,GEO,1,1,0,1,1,0,0
Sahnoune Mohamed,FRA,0,1,0,0,1,0,0
Saidaliev Kazbek,FRA,2,1,0,1,1,0,0
Saidi Issa,FRA,0,1,0,0,0,0,1
Saidjamolov Jahongir,FRA,0,1,0,0,1,0,0
Saidov Aslambek,POL,,,,5,2,5,2
Saidov Nazim,POL,0,1,0,0,0,0,1
Saif Ali,POL,0,1,0,0,1,0,0
Saiga Kizaemon,JPN,0,3,0,0,1,0,1
Sailik Makshati,JPN,0,1,0,0,0,0,1
Sailike Makeshate,CHN,0,2,0,0,1,0,1
Sailikebieke Yasen,CHN,0,1,0,0,1,0,0
Sainci Mark,USA,0,1,0,0,0,0,1
Saint Denis Benoit,FRA,8,1,0,1,0,7,0
Saint Louis J.P.,USA,1,3,0,0,2,1,0
Saint Preux Ovince,HAI,,,,,,7,3
Saintil Junaure,HAI,0,1,0,0,1,0,0
Saioka Asako,HAI,0,3,0,0,0,0,2
Saito Anna,JPN,0,4,0,0,0,0,3
Saito Atsushi,JPN,0,1,0,0,0,0,1
Saito Ayumi,JPN,1,3,0,0,0,0,1
Saito Masaomi,JPN,0,1,0,0,0,0,0
Saito Seri,JPN,0,2,0,0,0,0,1
Saito Steven,JPN,0,1,0,0,1,0,0
Saito Toshiyuki,JPN,0,1,0,0,1,0,0
Saito Yo,JPN,0,3,0,0,0,0,0
Saito Yoji,JPN,0,1,0,0,1,0,0
Saito Yuko,JPN,0,1,0,0,0,0,0
Saito Yutaka,JPN,1,2,0,0,0,0,0
Sajbor Grzegorz,POL,0,1,0,0,0,0,1
Sajewski Lukasz,POL,,,,2,2,7,1
Saka Yukio,POL,0,0,0,0,0,0,0
Sakaev Georgy,RUS,0,2,0,0,2,0,0
Sakaguchi Yukio,RUS,0,3,0,0,2,0,1
Sakahara Yasuhiro,JPN,0,1,0,0,1,0,0
Sakai Augusto,BRA,,,,,,0,0
Sakai Keisuke,BRA,0,1,0,0,0,0,1
Sakai Kosuke,JPN,0,1,0,0,0,0,1
Sakai Ryo,JPN,0,3,0,0,1,0,0
Sakai Sumie,JPN,0,3,0,0,1,0,1
Sakalov Khamzat,RUS,1,0,0,0,0,0,0
Sakamoto Anderson,BRA,0,1,0,0,1,0,0
Sakamoto Yohei,BRA,1,0,1,0,0,0,0
Sakano Shuhei,JPN,0,1,0,0,0,0,0
Sakara Alessio,ITA,,,,,,2,3
Sakashita Yusuke,ITA,0,3,0,0,2,0,0
Sakaszwili Sulkhan,POL,0,1,0,0,0,0,1
Sakata Wataru,POL,1,3,0,0,0,1,2
Sakda Dankao,POL,0,1,0,0,1,0,0
Sakhomsin Bernueng,POL,0,1,0,0,0,0,1
Saki Gokhan,TUR,1,2,0,1,2,0,0
Sakimura Akito,TUR,0,1,0,0,0,0,1
Sakiyama Isao,TUR,0,2,0,0,0,0,0
Sakocius Arnas,LTU,1,0,0,0,0,1,0
Sakuma Hiroaki,LTU,0,2,0,0,1,0,1
Sakuma Kenta,LTU,1,0,0,0,0,0,0
Sakuma Ryota,JPN,0,1,0,0,0,0,1
Sakuraba Kazushi,JPN,,,,3,1,,
Sakuragi Keizo,JPN,0,1,0,0,0,0,1
Sakuragi Yuji,JPN,0,6,0,0,3,0,1
Sakurai Hayato,JPN,,,,8,3,2,3
Sakurai Ryuta,JPN,,,,0,5,0,3
Sakuta Keiji,JPN,0,2,0,0,0,0,1
Salama Mahmoud,EGY,0,2,0,0,1,0,1
Salamagnou Ryan,FRA,0,1,0,0,1,0,0
Salamov Adam,RUS,0,1,0,0,1,0,0
Salantri Nick,RUS,0,2,0,0,0,0,2
Salas Andrew,RUS,0,2,0,0,0,0,1
Salas Daniel,MEX,,,,5,3,8,0
Salas John,MEX,0,1,0,0,1,0,0
Salas Joseph,MEX,0,3,0,0,3,0,0
Salas Justin,USA,,,,4,4,3,3
Salas Nelson,USA,3,5,0,2,1,1,0
Salas Rocky,USA,0,1,0,0,0,0,1
Salas Sam,USA,0,1,0,0,1,0,0
Salaverry Ivan,CAN,,,,5,4,5,1
Salazar Alonso,CAN,0,1,0,0,0,0,1
Salazar Andy,CAN,0,2,0,0,0,0,2
Salazar David,CAN,0,1,0,0,1,0,0
Salazar Dennis,CAN,1,2,0,0,1,0,0
Salazar Holli,USA,1,1,1,1,0,0,1
Salazar Justin,USA,0,2,0,0,1,0,1
Salazar Laura,USA,3,1,0,3,1,0,0
Salazar Ludwing,USA,0,2,0,0,0,0,2
Salazar Marcello,USA,0,0,1,0,0,0,0
Salazar Mathias,USA,0,1,0,0,1,0,0
Salazar Maurice,USA,0,1,0,0,1,0,0
Salazar Mike,USA,0,1,0,0,1,0,0
Salazar Roman,USA,,,,5,2,3,3
Salazar Ruben,USA,0,1,0,0,0,0,0
Salchov Nicolai,USA,0,0,0,0,0,0,0
Salchow Nick,USA,0,1,0,0,0,0,0
Salcido Sergio,USA,0,1,0,0,0,0,1
Saldana David,USA,0,1,0,0,0,0,1
Saldana Eddie,USA,0,1,0,0,1,0,0
Saldana Hector,USA,2,4,0,2,1,0,1
Saldana Luis,USA,,,,7,1,7,2
Saldes Rafaels,LAT,0,1,0,0,0,0,1
Saldivar Fabian,LAT,1,0,0,0,0,1,0
Saleh Abdullah,ENG,0,1,0,0,1,0,0
Salem Mohamed,ENG,0,1,0,0,1,0,0
Sales Duda,ENG,0,1,0,0,0,0,1
Sales Fabiano,ENG,0,1,0,0,0,0,1
Sales Gilmar,BRA,0,1,0,0,1,0,0
Sales Iara,BRA,0,1,0,0,1,0,0
Sales Junior,BRA,0,1,0,0,0,0,1
Sales de Melo Euclides Zacarias,BRA,0,3,0,0,0,0,2
Saleta Przemyslaw,BRA,1,0,0,0,0,1,0
Salgado John,BRA,1,2,0,0,1,1,1
Salgado Jose,BRA,1,1,0,0,0,1,1
Salgado Luis,BRA,1,1,0,1,0,0,0
Salgado Wady,BRA,0,1,0,0,1,0,0
Saliba Zein,AUS,4,0,0,0,0,2,0
Saliev Djamid,AUS,0,1,0,0,1,0,0
Salihov Islam,RUS,0,1,0,0,0,0,0
Salikhov Muslim,RUS,,,,,,2,2
Salim Hamza,USA,1,3,0,0,0,0,1
Salimkhanov Salman,USA,0,1,0,0,0,0,0
Salimov Zafar,UZB,0,1,0,0,0,0,1
Salimova Suad,UZB,0,1,0,0,0,0,0
Salinas Chris,UZB,0,0,0,0,0,0,0
Salinas Danny,USA,0,3,0,0,1,0,2
Salinas Justin,USA,0,2,0,0,0,0,1
Salinas-Jones Gabriel,USA,1,4,0,0,0,1,1
Saling Brandon,USA,0,3,0,0,1,0,0
Salisbury Joshua,USA,0,1,0,0,0,0,1
Sallee Sean,USA,0,5,0,0,1,0,3
Salles Alvaro,USA,0,1,0,0,0,0,1
Sallie Christopher,USA,0,1,0,0,1,0,0
Sally Francesca,USA,,,,,,,
Salmanov Djalili,USA,0,1,0,0,0,0,1
Salmi Jani,FIN,0,2,0,0,0,0,0
Salmimies Suvi,FIN,2,4,0,0,0,0,0
Salminen Janne,FIN,0,1,0,0,1,0,0
Salmon Boston,USA,6,3,0,4,2,0,0
Salmon Maurice,USA,1,1,0,1,1,0,0
Salmon Sean,USA,,,,0,5,0,5
Salomao Mauro,USA,0,1,0,0,0,0,0
Salomao Rafael,MEX,0,2,0,0,2,0,0
Salone Kelli,MEX,0,1,0,0,0,0,1
Salovaara Joni,FIN,1,3,0,0,0,1,1
Salter Corey,USA,0,3,0,0,1,0,2
Salter John,USA,,,,7,2,,
Salva Enrico,USA,0,1,0,0,1,0,0
Salvador Dylan,FRA,3,1,0,0,0,3,0
Salvador Vinicius,BRA,,,,,,1,1
Salvaino Silva Jiovane,BRA,0,1,0,0,0,0,1
Salvatore Massimo,ITA,0,1,0,0,1,0,0
Salyer Jacob,ITA,0,1,0,0,1,0,0
Salzgeber Peter,ITA,0,1,0,0,0,0,1
Samad Roberta,BRA,5,2,0,3,0,1,0
Samadov Rasul,BRA,0,1,0,0,1,0,0
Samadov Said,BRA,0,1,0,0,0,0,0
Samaniego Julian,USA,0,3,0,0,1,0,2
Samaro Angela,USA,0,2,0,0,0,0,2
Samart Chan,USA,0,1,0,0,0,0,0
Samayoa Ivest,MEX,0,1,0,0,1,0,0
Samb Omar,MEX,0,1,0,0,1,0,0
Sametaev Aibek,KAZ,0,1,0,0,0,0,1
Samiev Babyrbek,KAZ,0,2,0,0,0,0,2
Samir Mona,KAZ,0,3,0,0,1,0,2
Samman Josh,USA,,,,7,1,4,2
Sammarco Massimiliano,ITA,0,1,0,0,1,0,0
Sammons Caitlin,USA,3,1,0,1,1,1,0
Samoilov Dmitry,RUS,,,,5,3,6,2
Samol Brandon,RUS,0,1,0,0,0,0,1
Samolyuk Sergey,RUS,0,1,0,0,0,0,0
Samos Rizzi,RUS,0,1,0,0,0,0,1
Samoylov Maxim,UKR,0,1,0,0,0,0,0
Sampaio Dingo,BRA,0,1,0,0,0,0,0
Sampaio Gustavo,BRA,0,1,0,0,0,0,0
Sampaio Johnny,BRA,0,1,0,0,1,0,0
Sampaio Marcos Vinicius,BRA,0,1,0,0,0,0,1
Sampaio Sandro,BRA,0,1,0,0,1,0,0
Sampaio Thiago,BRA,0,2,0,0,0,0,2
Sampo Josh,USA,,,,0,1,6,1
Sampson Jason,USA,,,,4,0,7,0
Samsa Vaclav,CZE,1,0,0,0,0,0,0
Samson Jerry,CZE,0,1,0,0,0,0,1
Samsudin Hisyam,CZE,0,1,0,0,0,0,1
Samuels Corey,USA,3,2,0,1,1,1,1
Samuels James,USA,0,1,0,0,1,0,0
Samuels Will,USA,0,1,0,0,0,0,1
Samukawa Naoki,USA,0,1,0,0,1,0,0
Samurai Frederick,USA,0,1,0,0,0,0,0
Samurai Reinaldo,USA,0,1,0,0,1,0,0
Samuray Tiago,BRA,0,1,0,0,0,0,1
San Philly,BRA,1,0,0,1,0,0,0
San Antonio Peter,USA,0,1,0,0,0,0,0
San Diego Josh,USA,8,4,0,1,0,3,2
San Jose Chris,USA,0,1,0,0,1,0,0
San Miguel Derrick,USA,0,2,0,0,0,0,2
Sanches Alvaro,USA,0,1,0,0,1,0,0
Sanchez Adolfo,USA,0,1,0,0,1,0,0
Sanchez Alberto,MEX,0,1,1,0,0,0,0
Sanchez Alejandro,MEX,0,1,0,0,0,0,1
Sanchez Andrew,USA,,,,7,5,2,0
Sanchez Angelo,USA,2,3,0,0,1,0,0
Sanchez Antonio,USA,1,0,0,0,0,0,0
Sanchez Armando,USA,0,2,0,0,1,0,0
Sanchez Ashley,USA,0,1,0,0,0,0,0
Sanchez Azahara,USA,0,1,0,0,0,0,1
Sanchez Bobby,USA,0,8,0,0,2,0,6
Sanchez Bobby,USA,0,0,0,0,0,0,0
Sanchez Bobby,USA,0,2,0,0,0,0,2
Sanchez Chris,USA,0,1,0,0,0,0,1
Sanchez Christian,USA,0,1,0,0,1,0,0
Sanchez Diego,USA,,,,,,6,0
Sanchez Donald,USA,5,7,0,2,1,0,3
Sanchez Eddie,USA,4,9,0,3,5,0,2
Sanchez Emmanuel,USA,,,,1,0,8,1
Sanchez Erick,USA,,,,3,1,3,0
Sanchez Fortino,USA,0,1,0,0,1,0,0
Sanchez George,USA,0,3,0,0,2,0,1
Sanchez Hector,USA,0,1,0,0,1,0,0
Sanchez Hugo,USA,0,1,0,0,1,0,0
Sanchez Isidro,USA,0,2,0,0,1,0,0
Sanchez Jaclyn,USA,0,1,0,0,0,0,1
Sanchez Jeff,USA,0,1,0,0,0,0,1
Sanchez Jesus,USA,0,1,0,0,1,0,0
Sanchez Joby,USA,,,,4,1,4,2
Sanchez Jose,USA,0,1,0,0,1,0,0
Sanchez Jose,ESP,,,,2,0,5,1
Sanchez Julian,ESP,0,1,0,0,0,0,1
Sanchez Julio,ESP,0,1,0,0,0,0,0
Sanchez Laura,USA,1,2,0,1,0,0,0
Sanchez Marco,USA,0,1,0,0,1,0,0
Sanchez Marcus,USA,1,1,0,1,0,0,1
Sanchez Mark,USA,,,,,,,
Sanchez Michael,USA,0,3,0,0,2,0,1
Sanchez Nikita,USA,0,1,0,0,1,0,0
Sanchez Orlando Mario,USA,1,0,0,0,0,1,0
Sanchez Randy,USA,0,1,0,0,1,0,0
Sanchez Roberto,USA,8,2,0,0,0,7,1
Sanchez Roland,USA,0,1,0,0,1,0,0
Sanchez Salazar,USA,0,1,0,0,1,0,0
Sanchez Tony,USA,0,2,0,0,1,0,0
